行政区,项目名称,项目位置,面积(公顷),土地用途,供地方式,土地使用年限,行业分类,成交价格(万元),土地使用权人,约定容积率,合同签订日期,约定开工时间,约定竣工时间
固镇县,房地产（老三中）,东菜市东侧、谷阳路南侧（老三中）,3.0584,中低价位、中小套型普通商品住房用地,挂牌出让,中低价位、中小套型普通商品住房用地70年; 其他商服用地40年;,房地产业,8500,蚌埠立帆房地产开发有限公司,1.002.80,2018年9月25日,2019年5月25日,2020年5月25日
怀远县,怀远县嘉润置业有限公司,榴城镇涡淮路北、引凤路南,6.711459,其他普通商品住房用地,挂牌出让,70,房地产业,18800,怀远县嘉润置业有限公司,2.002.20,2018年9月19日,2019年5月19日,2021年11月18日
怀远县,怀远县嘉润置业有限公司,榴城镇禹都大道南、引凤路北,6.438467,其他普通商品住房用地,挂牌出让,70,房地产业,16100,怀远县嘉润置业有限公司,2.002.40,2018年9月19日,2019年5月19日,2021年11月18日
固镇县,房地产,北城区奋进路南侧、团结路北侧、立新路西侧、建设路东侧。,3.4704,中低价位、中小套型普通商品住房用地,挂牌出让,中低价位、中小套型普通商品住房用地70年; 其他商服用地40年;,房地产业,8700,安徽瑞星置业有限公司,1.002.00,2018年9月19日,2019年5月19日,2020年5月19日
固镇县,房地产,北城区奋进路南侧、团结路北侧、规划幼儿园东侧、建设路西侧。,2.5529,中低价位、中小套型普通商品住房用地,挂牌出让,中低价位、中小套型普通商品住房用地70年; 其他商服用地40年;,房地产业,6400,安徽瑞星置业有限公司,1.002.00,2018年9月19日,2019年5月19日,2020年5月19日
蚌埠市本级,工业用地,龙子湖区东海大道北侧、中环线东侧,2.458979,工业用地,挂牌出让,50,其它,637,蚌埠精工玻璃科技技术有限公司,1.000.00,2018年9月19日,2019年3月5日,2020年9月5日
蚌埠市本级,教育科研用地,淮上区特步大道西侧、双墩路北侧,1.376433,科教用地,挂牌出让,50,专业技术服务业,750,安徽省建筑工程质量监督检测站皖北分站,1.001.80,2018年9月18日,2019年3月5日,2020年9月4日
怀远县,怀远县绿朗置业有限公司,榴城镇禹都大道北侧,2.419288,其他普通商品住房用地,挂牌出让,70,房地产业,7250,怀远县绿朗置业有限公司,1.601.80,2018年9月18日,2019年2月18日,2021年2月17日
蚌埠市本级,公共设施用地,高新区长征南路东侧、坤和路北侧,1.56,公共设施用地,挂牌出让,50,房地产业,1221,蚌埠高新投资集团有限公司,0.001.00,2018年9月18日,2019年3月5日,2020年9月4日
五河县,漴东规划三路南段,五河县城关镇漴东规划三路南段,1.592359,公路用地,划拨,,房屋和土木工程业,0,五河县城市建设投资经营有限责任公司,1,2018年9月17日,2019年3月17日,2020年3月17日
五河县,女山路南段,五河县城南新区女山路南段,0.23189,公路用地,划拨,,交通运输、仓储和邮政业,0,五河县建设投资有限公司,1,2018年9月17日,2019年3月17日,2020年3月17日
