行政区,项目名称,项目位置,面积(公顷),土地用途,供地方式,土地使用年限,行业分类,成交价格(万元),土地使用权人,约定容积率,合同签订日期,约定开工时间,约定竣工时间,,
浦江县,浦阳街道群生陈蓬坑东南地块A1幢A1-04地块,陈蓬坑村东南角,0.0099,城镇住宅用地,挂牌出让,70,房地产业,143.55,薛素珍/?,1.00/2.81,2020年6月8日,2021年1月8日,2023年1月8日,,
浦江县,西部山区地质灾害安置房建设工程,岩头镇区西南侧、水晶小镇东侧、宏业大道东侧、永在大道西侧,5.0341,城镇住宅用地,划拨,,房屋和土木工程业,,/浦江县新农居建设投资有限公司,1.00/2.50,2020年6月8日,2021年3月2日,2023年3月2日,,
浦江县,浦阳街道群生陈蓬坑东南地块A1幢A1-03地块,陈蓬坑村东南角,0.0132,城镇住宅用地,挂牌出让,70,房地产业,186.252,方八一/?,1.00/2.80,2020年6月8日,2021年1月8日,2023年1月8日,,
浦江县,浦阳街道群生陈蓬坑东南地块A1幢A1-02地块,陈蓬坑村东南角,0.0132,城镇住宅用地,挂牌出让,70,房地产业,180.312,贾明东/?,1.00/2.80,2020年6月8日,2021年1月8日,2023年1月8日,,
浦江县,浦阳街道群生陈蓬坑东南地块A1幢A1-01地块,陈蓬坑村东南角,0.013398,城镇住宅用地,挂牌出让,70,房地产业,203.7836,吴振华/?,1.00/2.80,2020年6月8日,2021年1月8日,2023年1月8日,,
金华市本级,绍兴金越企业管理咨询有限公位于八一南街以东、海棠路以南、兰桂院以西地块,北至海棠路，南至规划路，东至兰桂院，西至八一南街,5.00993,城镇住宅用地,挂牌出让,70,房地产业,107462.9985,绍兴金越企业管理咨询有限公司/?,1.80/2.10,2020年6月8日,2021年9月5日,2023年9月5日,,
东阳市,千芝雅（金华）科技实业有限公司1,经济开发区长松岗工业功能区C48-2地块,0.114,工业用地,挂牌出让,50,其它,36.594,千芝雅（金华）科技实业有限公司/?,1.20/3.00,2020年6月8日,2020年12月8日,2022年6月8日,,
永康市,永康市西溪镇小微园A－06东侧地块8#厂房,永康市西溪镇小微园A－06东侧地块8#厂房,0.177194,工业用地,拍卖出让,50,金属制品业,1073.7956,程康康/?,5.00/5.00,2020年6月8日,2021年2月17日,2023年2月17日,,
永康市,永康市西溪镇小微园A－06东侧地块13#厂房,永康市西溪镇小微园A－06东侧地块13#厂房,0.12129,工业用地,拍卖出让,50,金属制品业,705.9078,永康市睿达日用制品厂/?,5.00/5.00,2020年6月8日,2021年2月17日,2023年2月17日,,
东阳市,东阳市歌山凤凰谷生态观光农业有限公司1,歌山镇凤凰谷酒店北侧,0.4782,交通服务场站用地,拍卖出让,50,城市公共交通业,330,东阳市歌山凤凰谷生态观光农业有限公司/?,/,2020年6月8日,2020年12月8日,2022年6月8日,,
东阳市,东阳市华鑫塑胶有限公司1,南市街道华鑫塑胶以北地块,1.2803,工业用地,挂牌出让,50,塑料制品业,731.0513,东阳市华鑫塑胶有限公司/?,1.20/3.00,2020年6月5日,2020年12月5日,2022年6月5日,,
兰溪市,原浙江宏硕纺织有限公司地块,马涧镇石一村,1.8405,工业用地,拍卖出让,50,砖瓦、石材及其他建筑材料制造,714.114,浙江玖隆新材料科技有限公司/?,1.20/2.00,2020年6月3日,2021年3月3日,2022年3月3日,,
永康市,永康市江南街道石溪小微企业园3#厂房,永康市江南街道石溪小微企业园3#厂房,0.17136,工业用地,拍卖出让,50,金属制品业,897.9264,永康市添亿金属制品有限公司/?,4.20/4.20,2020年6月3日,2021年2月12日,2023年2月12日,,
永康市,永康市江南街道石溪小微企业园2#厂房,永康市江南街道石溪小微企业园2#厂房,0.17136,工业用地,拍卖出让,50,金属制品业,1004.1696,永康市奇玉绝缘材料厂/?,4.20/4.20,2020年6月3日,2021年2月12日,2023年2月12日,,
义乌市,向阳街市政道路工程,稠城街道,0.332783,公路用地,划拨,,道路运输业,0,/义乌市城市投资建设集团有限公司,0.00/0.00,2020年6月2日,2021年6月2日,2023年6月2日,,
义乌市,义乌高新区科创区块规划5号路（净居路-鸿儒路）道路工程,后宅街道,1.3794,公路用地,划拨,,道路运输业,0,/浙江义乌高新区开发建设有限公司,0.00/0.00,2020年6月2日,2021年6月2日,2023年6月2日,,
磐安县,磐安工业园区曙光路9-2号住宅用地,磐安工业园区曙光路9-2号住宅用地,0.027504,城镇住宅用地,拍卖出让,70,房地产业,1069.9056,厉新良、张道义、胡旭阳/?,6.38/7.16,2020年6月1日,2020年11月28日,2022年5月28日,,
磐安县,磐安工业园区曙光路9-1号住宅用地,磐安工业园区曙光路9-1号住宅用地,0.027504,城镇住宅用地,拍卖出让,70,房地产业,1094.6592,胡秀兰、周帅行/?,6.38/7.16,2020年6月1日,2020年11月28日,2022年5月28日,,
永康市,永康市龙山镇长龙砖瓦厂KGG-M2-09(1)-1地块,永康市龙山镇长龙砖瓦厂KGG-M2-09(1)-1地块,0.5031,工业用地,挂牌出让,50,文教体育用品制造业,365,永康市龙人校具有限公司/?,1.40/0.00,2020年6月1日,2021年12月30日,2023年12月30日,,
永康市,永康市花川小学建设工程,永康市城西新区花川村花川自然村,2.118315,教育用地,划拨,,教育业,879.1157,/永康市教育发展有限责任公司,0.67/0.67,2020年6月1日,2021年12月1日,2023年12月1日,,
东阳市,东阳市国置房地产开发有限责任公司1,巍山镇巍山地税所和巍五村老年活动中心以南,1.37534,城镇住宅用地,拍卖出让,70,房地产业,11200,东阳市国置房地产开发有限责任公司/?,1.50/3.30,2020年6月1日,2020年12月1日,2022年6月1日,,
永康市,永康经济开发区S20－01地块,永康经济开发区S20－01地块,2,工业用地,挂牌出让,50,橡胶制品业,1500,浙江博士龙密封科技有限公司/?,1.30/,2020年6月1日,2021年12月30日,2023年12月30日,,
磐安县,磐安县安文街道溪文村安置项目,安文街道溪文村,5.6237,城镇住宅用地,划拨,,其他服务业,,/磐安县安文街道溪文村股份经济合作社,1.10/1.10,2020年5月30日,2020年7月30日,2021年12月31日,,
磐安县,磐安县新渥街道六冲村安置项目,新渥街道南坞村、六冲村,4.0337,城镇住宅用地,划拨,,国家机构,,/磐安县人民政府新渥街道办事处,1.10/1.10,2020年5月30日,2020年7月30日,2021年12月31日,,
磐安县,大盘山管护用房,大盘镇小盘村,0.0993,机关团体用地,划拨,,国家机构,,/浙江省大盘山国家级自然保护区管理局,1.50/1.50,2020年5月30日,2020年7月30日,2021年6月30日,,
磐安县,第四中学(三),尖山镇尖山村,0.6336,教育用地,划拨,,教育业,,/磐安县教育局,0.60/0.60,2020年5月30日,2020年7月30日,2020年12月31日,,
磐安县,磐新公路,尖山镇楼下宅村、新宅村,0.3443,公路用地,划拨,,中国共产党机关,,/磐安县尖山镇人民政府,/,2020年5月30日,2020年7月30日,2020年12月31日,,
磐安县,大门畈小城镇广场公园,尖山镇楼下宅村,0.2263,公园与绿地,划拨,,中国共产党机关,,/磐安县尖山镇人民政府,/,2020年5月30日,2020年7月30日,2020年12月31日,,
磐安县,仁川镇红挺一纵纪念馆及公园,仁川镇黄余田村,0.0751,文化设施用地,划拨,,其他服务业,,/磐安县仁川镇人民政府,1.30/1.30,2020年5月30日,2020年7月30日,2020年12月31日,,
磐安县,仁川镇文体广场,仁川镇黄余田村,0.1999,公园与绿地,划拨,,其他服务业,,/磐安县仁川镇人民政府,/,2020年5月30日,2020年7月30日,2020年12月31日,,
磐安县,冷水镇污水泵站,冷水镇冷水村,0.1036,公用设施用地,划拨,,其他服务业,,/磐安县冷水镇人民政府,/,2020年5月30日,2020年7月30日,2020年12月31日,,
磐安县,磐安县翠南社区安置项目,新渥街道大麦坞村,7.7338,城镇住宅用地,划拨,,公共设施管理业,,/磐安新城开发建设中心,1.30/1.30,2020年5月30日,2020年7月30日,2021年12月31日,,
磐安县,磐安县新渥街道宅口村安置项目,新渥街道宅口村,0.0608,城镇住宅用地,划拨,,公共设施管理业,,/磐安新城开发建设中心,1.20/1.20,2020年5月30日,2020年7月30日,2020年12月31日,,
磐安县,磐安县药镇市场社区安置项目,新渥街道上加村,0.2575,城镇住宅用地,划拨,,公共设施管理业,,/磐安新城开发建设中心,1.10/1.10,2020年5月30日,2020年7月30日,2021年7月29日,,
磐安县,磐安县新渥街道金钩道路,新渥街道金钩村、深一村、深三村,0.6366,公路用地,划拨,,公共设施管理业,,/磐安新城开发建设中心,/,2020年5月30日,2020年7月30日,2020年12月31日,,
磐安县,磐安县黄檀林场重建管护用房,仁川镇黄檀林场,0.0541,机关团体用地,划拨,,国家机构,,/磐安县黄檀林场,2.20/2.20,2020年5月30日,2020年7月30日,2020年12月31日,,
磐安县,新渥街道小微企业创业园1号地块（第三期）,新渥街道小微企业创业园1号地块（第三期）,0.329765,工业用地,挂牌出让,50,木材加工及木、竹、藤、棕、草制品业,69.2507,磐安县百隆工艺品有限公司/?,1.40/2.50,2020年5月29日,2020年11月28日,2022年5月28日,,
东阳市,东阳市吴宁街道办事处地质灾害避让搬迁项目,吴宁街道荷塘社区野毛墩自然村,0.6386,城镇住宅用地,划拨,,基层群众自治组织,,/东阳市吴宁街道办事处,/1.00,2020年5月29日,2020年8月29日,2022年8月29日,,
磐安县,新渥街道小微企业创业园2号地块（第三期）,新渥街道小微企业创业园2号地块（第三期）,0.290342,工业用地,挂牌出让,50,木材加工及木、竹、藤、棕、草制品业,60.9718,磐安县尧来舜工艺品有限公司/?,1.40/2.50,2020年5月29日,2020年11月29日,2022年5月29日,,
义乌市,陈锡飞(苏溪镇龙祈路两侧沿街商服3号1-6地块),苏溪镇，春风大道东侧，龙祈路南侧,0.014676,城镇住宅用地,挂牌出让,70,房地产业,673,陈锡飞/?,5.05/5.20,2020年5月29日,2021年6月30日,2023年6月29日,,
义乌市,陈争冬(苏溪镇龙祈路两侧沿街商服3号2-6地块),苏溪镇，春风大道东侧，龙祈路南侧,0.014676,城镇住宅用地,挂牌出让,70,房地产业,483,陈争冬/?,5.05/5.20,2020年5月29日,2021年6月30日,2023年6月29日,,
义乌市,吴乐卿(苏溪镇龙祈路两侧沿街商服3号2-5地块),苏溪镇，春风大道东侧，龙祈路南侧,0.009682,城镇住宅用地,挂牌出让,70,房地产业,443,吴乐卿/?,6.45/6.60,2020年5月29日,2021年6月30日,2023年6月29日,,
义乌市,骆华洪(苏溪镇龙祈路两侧沿街商服3号2-4地块),苏溪镇，春风大道东侧，龙祈路南侧,0.009682,城镇住宅用地,挂牌出让,70,房地产业,391,骆华洪/?,4.90/5.05,2020年5月29日,2021年6月30日,2023年6月29日,,
义乌市,蒋志健(苏溪镇龙祈路两侧沿街商服3号2-3地块),苏溪镇，春风大道东侧，龙祈路南侧,0.009682,城镇住宅用地,挂牌出让,70,房地产业,381,蒋志健/?,4.90/5.05,2020年5月29日,2021年6月30日,2023年6月29日,,
