编号,用途,省市,区县,宗地名称,宗地位置,出让年限,交易方式,成交价格(万元),溢价率,成交年份,成交年月,成交时间,出让面积,容积率,建筑面积（平方米）,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
824,城镇住宅用地,盐城市,盐都区,江苏通银实业集团有限公司,盐都区东进路北、宝兴路西侧,70,挂牌,82412.9792,,2019,2019年8月,2019/8/21,103847,2.2,228463.4,江苏通银实业集团有限公司,,,,,,,,,,,,,,2021/1/20,2024/1/19
828,城镇住宅用地,盐城市,建湖县,站前路南、湖中路西侧地块,站前路南、湖中路西侧地块,70,挂牌,11200,,2019,2019年8月,2019/8/16,39213,2,78426,江苏开诚置业有限公司,,,,,,,,,,,,,,2020/4/6,2022/4/6
829,城镇住宅用地,盐城市,建湖县,西葛庄路北、湖中路西侧地块,西葛庄路北、湖中路西侧地块,70,挂牌,12110,,2019,2019年8月,2019/8/16,46559,2,93118,江苏开诚置业有限公司,,,,,,,,,,,,,,2020/4/6,2022/4/6
831,城镇住宅用地,盐城市,建湖县,高作小学北侧地块,高作小学北侧地块,70,挂牌,770,,2019,2019年8月,2019/8/16,7331,1.5,10996.5,建湖志高农业发展有限公司,,,,,,,,,,,,,,2020/4/6,2022/4/6
832,城镇住宅用地,盐城市,建湖县,高作小学南侧地块,高作小学南侧地块,70,挂牌,990,,2019,2019年8月,2019/8/16,9442,1.5,14163,建湖志高农业发展有限公司,,,,,,,,,,,,,,2020/4/6,2022/4/6
833,城镇住宅用地,盐城市,建湖县,高作法庭西侧地块,高作法庭西侧地块,70,挂牌,650,,2019,2019年8月,2019/8/16,5509,1.5,8263.5,建湖志高农业发展有限公司,,,,,,,,,,,,,,2020/4/6,2022/4/6
834,城镇住宅用地,盐城市,建湖县,水源路南侧、环城西路东侧地块,水源路南侧、环城西路东侧地块,70,挂牌,15130,,2019,2019年8月,2019/8/16,34642,2,69284,建湖县高新投资发展有限公司,,,,,,,,,,,,,,2020/4/6,2022/4/6
835,城镇住宅用地,盐城市,建湖县,人民南路东、严桥路南侧地块,人民南路东、严桥路南侧地块,70,挂牌,32000,,2019,2019年8月,2019/8/16,68817,2,137634,建湖县新农村建设投资有限公司,,,,,,,,,,,,,,2020/4/6,2022/4/6
836,城镇住宅用地,盐城市,建湖县,上海路西侧、兴建路北侧地块二,上海路西侧、兴建路北侧地块二,70,挂牌,6800,,2019,2019年8月,2019/8/16,36923,1.8,66461.4,建湖县新农村建设投资有限公司,,,,,,,,,,,,,,2020/4/6,2022/4/6
840,城镇住宅用地,盐城市,大丰市,盐城市大丰区振城建设有限公司,双拥路西，飞达路南侧,70,挂牌,18250,,2019,2019年8月,2019/8/15,57443,2,114886,盐城市大丰区振城建设有限公司,,,,,,,,,,,,,,2020/8/15,2022/8/15
855,城镇住宅用地,盐城市,射阳县,滨湖公寓,开发区中联居委会,,划拨,0,,2019,2019年8月,2019/8/2,11027,1.7,18745.9,射阳县安居经济适用住房发展中心,,,,,,,,,,,,,,2019/11/9,2022/11/8
874,城镇住宅用地,盐城市,建湖县,江苏开诚置业有限公司新建建华保障性住房项目,钟庄街道南华村新港、新华组,,划拨,0,,2019,2019年7月,2019/7/4,25115,2.4,60276,江苏开诚置业有限公司,,,,,,,,,,,,,,2020/2/28,2022/2/27
887,城镇住宅用地,盐城市,射阳县,开发区伍份村安置区南侧地块,开发区伍份村安置区南侧地块,70,挂牌,3713,,2019,2019年6月,2019/6/25,25184,2.1,52886.4,江苏射阳经济开发区经济开发总公司,,,,,,,,,,,,,,2020/4/25,2023/4/25
888,城镇住宅用地,盐城市,经济技术开发区,世纪新城居住用地,盐城经济技术开发区新城街道阳光社区居委会、北舍村,70,挂牌,29762.56,,2019,2019年6月,2019/6/24,41198,2,82396,盐城世纪新城地产开发有限公司,,,,,,,,,,,,,,2020/5/24,2023/5/24
893,城镇住宅用地,盐城市,射阳县,人民西路北侧福建路东侧1号地块,人民西路北侧福建路东侧1号地块,70,挂牌,12546,,2019,2019年6月,2019/6/21,69884,2,139768,江苏裕华投资开发集团有限公司,,,,,,,,,,,,,,2020/4/21,2023/4/21
894,城镇住宅用地,盐城市,射阳县,人民西路北侧福建路东侧2号地块,人民西路北侧福建路东侧2号地块,70,挂牌,11160,,2019,2019年6月,2019/6/21,60699,2,121398,江苏裕华投资开发集团有限公司,,,,,,,,,,,,,,2020/4/21,2023/4/21
895,城镇住宅用地,盐城市,射阳县,安徒生童话乐园南侧1号地块,安徒生童话乐园南侧1号地块,70,挂牌,16560,,2019,2019年6月,2019/6/21,36683,2.6,95375.8,张丹季章江苏晟大置业有限公司,,,,,,,,,,,,,,2020/8/21,2023/8/21
896,城镇住宅用地,盐城市,射阳县,安徒生童话乐园南侧2号地块,安徒生童话乐园南侧2号地块,70,挂牌,24160,,2019,2019年6月,2019/6/21,53509,2.6,139123.4,张丹季章江苏晟大置业有限公司,,,,,,,,,,,,,,2020/8/21,2023/8/21
901,城镇住宅用地,盐城市,盐都区,盐城富力置业有限公司,盐都区世纪大道北、宝郝路西,70年，40年,挂牌,119835.72,,2019,2019年6月,2019/6/19,248880,2.5,622200,盐城富力置业有限公司,,,,,,,,,,,,,,2020/9/19,2023/9/18
902,城镇住宅用地,盐城市,盐都区,盐城富力置业有限公司,盐都区新都路北、吴抬路西侧,70年，40年,挂牌,114649.3752,,2019,2019年6月,2019/6/19,293071,2.5,732677.5,盐城富力置业有限公司,,,,,,,,,,,,,,2021/6/19,2024/6/18
906,城镇住宅用地,盐城市,亭湖区,江苏绿阳交通建设集团有限公司,范公路西侧、青年路北侧,70,挂牌,68439.3216,,2019,2019年6月,2019/6/18,68549,2.7,185082.3,江苏绿阳交通建设集团有限公司,,,,,,,,,,,,,,2020/6/18,2023/6/18
927,城镇住宅用地,盐城市,盐都区,盐城咏创建设发展有限公司,盐都区振兴路东、孙吴路北侧,70,挂牌,4031.2975,,2019,2019年6月,2019/6/5,63485,2.2,139667,盐城咏创建设发展有限公司,,,,,,,,,,,,,,2020/8/5,2022/8/4
934,城镇住宅用地,盐城市,亭湖区,盐城千汇置业有限公司,盐城市亭湖区五星街道东闸村四组,70,挂牌,50620.93,,2019,2019年5月,2019/5/30,80745,2.5,201862.5,盐城千汇置业有限公司,,,,,,,,,,,,,,2020/5/24,2023/5/24
971,城镇住宅用地,盐城市,滨海县,盐城世坤置业有限公司,滨海县滨淮农场田园小区东侧,70,挂牌,430.5194,,2019,2019年5月,2019/5/20,8359.6,1.8,15047.28,盐城世坤置业有限公司,,,,,,,,,,,,,,2019/7/20,2021/7/20
976,城镇住宅用地,盐城市,东台市,香港创贤发展有限公司,惠阳路南侧、海陵南路东侧（公园南侧地块一）,40年，70年,挂牌,48139.61,,2019,2019年5月,2019/5/16,122333,2.5,305832.5,香港创贤发展有限公司,,,,,,,,,,,,,,2020/3/16,2023/3/16
1049,城镇住宅用地,盐城市,射阳县,千鹤湖公园北侧1号地块,千鹤湖公园北侧1号地块,70,挂牌,26150,,2019,2019年4月,2019/4/25,57863,2.5,144657.5,南京华拓房地产开发有限公司,,,,,,,,,,,,,,2020/7/25,2023/7/25
1050,城镇住宅用地,盐城市,射阳县,千鹤湖公园北侧3号地块,千鹤湖公园北侧3号地块,70,挂牌,26140,,2019,2019年4月,2019/4/25,57953,2.5,144882.5,南京华拓房地产开发有限公司,,,,,,,,,,,,,,2020/7/25,2023/7/25
1051,城镇住宅用地,盐城市,射阳县,千鹤湖公园北侧4号地块,千鹤湖公园北侧4号地块,70,挂牌,21450,,2019,2019年4月,2019/4/25,47438,2.5,118595,南京华拓房地产开发有限公司,,,,,,,,,,,,,,2020/7/25,2023/7/25
1053,城镇住宅用地,盐城市,东台市,东台市保障性住房建设投资有限公司,八林新寓（一期）南侧地块一,40.7,挂牌,16483.2,,2019,2019年4月,2019/4/25,40400,2,80800,东台市保障性住房建设投资有限公司,,,,,,,,,,,,,,2020/4/15,2021/4/15
