编号,用途,省市,区县,宗地名称,宗地位置,出让年限,交易方式,成交价格(万元),溢价率,成交年份,成交年月,成交时间,出让面积,容积率,建筑面积（平方米）,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
300,零售商业用地,盐城市,阜宁县,阜宁县富兴达建设投资有限公司,金沙湖向阳居委会,40,挂牌,97,,2020,2020年2月,2020/2/28,1505.1,2.5,3762.75,阜宁县富兴达建设投资有限公司,,,,,,,,,,,,,,2021/6/1,2023/6/1
301,零售商业用地,盐城市,阜宁县,阜宁县富兴达建设投资有限公司,益林镇振兴村,40,挂牌,86,,2020,2020年2月,2020/2/28,1428.2,2.5,3570.5,阜宁县富兴达建设投资有限公司,,,,,,,,,,,,,,2021/6/1,2023/6/1
302,零售商业用地,盐城市,阜宁县,阜宁县富兴达建设投资有限公司,开发区董陈居委会,40,挂牌,85,,2020,2020年2月,2020/2/28,1334,2.5,3335,阜宁县富兴达建设投资有限公司,,,,,,,,,,,,,,2021/6/1,2023/6/1
303,零售商业用地,盐城市,阜宁县,阜宁县富兴达建设投资有限公司,吴滩街道办事处大王村,40,挂牌,81,,2020,2020年2月,2020/2/28,1333.4,2.5,3333.5,阜宁县富兴达建设投资有限公司,,,,,,,,,,,,,,2021/6/1,2023/6/1
304,零售商业用地,盐城市,阜宁县,阜宁县富兴达建设投资有限公司,陈良镇三烈村,40,挂牌,70,,2020,2020年2月,2020/2/28,1125.1,2.5,2812.75,阜宁县富兴达建设投资有限公司,,,,,,,,,,,,,,2021/6/1,2023/6/1
305,教育用地,盐城市,阜宁县,阜宁县罗桥镇中心幼儿园,罗桥镇沿路村,40,挂牌,28,,2020,2020年2月,2020/2/28,1102.18,1,1102.18,阜宁县罗桥镇中心幼儿园,,,,,,,,,,,,,,2021/6/1,2023/6/1
311,其他商服用地,盐城市,建湖县,严桥路北侧、经五路东侧地块,严桥路北、经五路东侧地块,40,挂牌,10500,,2020,2020年2月,2020/2/28,39659,2,79318,建湖县高新投资发展有限公司,,,,,,,,,,,,,,2020/10/11,2022/10/11
312,零售商业用地,盐城市,建湖县,上冈镇桃园村三组地块,上冈镇桃园村三组地块,40,挂牌,3260,,2020,2020年2月,2020/2/28,7225,0.8,5780,中国石化销售股份有限公司江苏盐城石油分公司,,,,,,,,,,,,,,2020/10/11,2021/10/11
314,其他商服用地,盐城市,东台市,弶港镇黄海森林公园民宿地块,黄海森林公园花林路北、快捷酒店东,40,挂牌,850.1995,,2020,2020年2月,2020/2/28,32083,0.5,16041.5,东台黄海森林投资发展有限公司,,,,,,,,,,,,,,2020/10/28,2022/10/28
318,教育用地,盐城市,滨海县,滨海县东元高级中学,海滨大道北侧、幸福路西侧,,划拨,,,2020,2020年2月,2020/2/27,124019,1,124019,滨海县教育局,,,,,,,,,,,,,,2020/4/27,2022/4/27
340,公用设施用地,盐城市,东台市,新农110千伏变电站,三仓镇新农村,,划拨,,,2020,2020年2月,2020/2/25,4049,0.23,931.27,国网江苏省电力有限公司盐城供电分公司,,,,,,,,,,,,,,2020/10/25,2021/10/25
349,其他商服用地,盐城市,射阳县,射阳港经济开发区迎宾大道东侧幸福大道北侧地块,射阳港经济开发区迎宾大道东侧幸福大道北侧地块,40,挂牌,2112,,2020,2020年2月,2020/2/4,35010,2,70020,射阳县沿海投资有限公司,,,,,,,,,,,,,,2020/10/4,2023/10/4
372,其他商服用地,盐城市,建湖县,明珠路北侧、万有家苑西侧地块,明珠路北侧、万有家苑西侧地块,40,挂牌,2100,,2020,2020年1月,2020/1/20,4492,1.6,7187.2,建湖县湖阳农业发展有限公司,,,,,,,,,,,,,,2020/9/9,2022/9/9
374,零售商业用地,盐城市,建湖县,冈西镇233省道北侧地块,上冈镇233省道北侧地块,40,挂牌,3420,,2020,2020年1月,2020/1/20,8005,0.8,6404,中国石化销售股份有限公司江苏盐城石油分公司,,,,,,,,,,,,,,2020/9/9,2022/9/9
389,社会福利用地,盐城市,射阳县,射阳县德雅养老公寓,射阳县海通镇兴海路北侧通灵河东侧,50,挂牌,304.5448,,2020,2020年1月,2020/1/19,7769,2,15538,射阳县德雅养老公寓,,,,,,,,,,,,,,2021/4/19,2023/4/18
394,社会福利用地,盐城市,滨海县,盐城荣旺养老服务有限公司,滨海县界牌镇周庄村S327东侧（七排河南、九公里桥北）,40,挂牌,707.1788,,2020,2020年1月,2020/1/18,24053.7,1.05,25256.385,盐城荣旺养老服务有限公司,,,,,,,,,,,,,,2020/4/18,2022/1/18
397,零售商业用地,盐城市,东台市,东台福拓置业有限公司,东台市安丰镇兴丰路东侧、安康路北侧,40,挂牌,1483.86,,2020,2020年1月,2020/1/17,28264,1.3,36743.2,东台福拓置业有限公司,,,,,,,,,,,,,,2020/11/17,2023/11/17
403,其他商服用地,盐城市,滨海县,滨海县农旅集团有限公司,滨海县滨淮镇S327北侧、S226东侧,40,挂牌,2107.4129,,2020,2020年1月,2020/1/14,18666.19,1.5,27999.285,滨海县农旅集团有限公司,,,,,,,,,,,,,,2020/3/14,2022/3/14
