编号,用途,省市,区县,宗地名称,宗地位置,出让年限,交易方式,起始价（万元）,成交价格(万元),溢价率,成交年份,成交年月,成交时间,出让面积,容积率,容积,率,建筑面积（平方米）,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
70,工业用地,盐城市,阜宁县,阜宁协鑫郭墅风力发电有限公司,郭墅镇沙河村,50,挂牌出让,,7,,2020,2020年5月,2020年5月20日,349.96,1,1,1,,阜宁协鑫郭墅风力发电有限公司,,,,,,,,,,,,,,2021年1月20日,2023年1月20日
71,教育用地,盐城市,盐都区,科创城小学、初中,盐城市盐都区潘黄街道办事处宝才居委会,,划拨,,,,2020,2020年5月,2020年5月20日,111402,0.55,0.55,0.55,,江苏盐西世纪教育产业项目开发有限公司,,,,,,,,,,,,,,2020年9月20日,2022年9月19日
72,公园与绿地,盐城市,盐都区,小马沟景观绿廊配套服务用房——文化陈列空间,盐城市盐都区潘黄街道办事处何桥居委会,,划拨,,,,2020,2020年5月,2020年5月20日,6292,0.02,0.02,0.02,,盐城盐龙文化体育产业投资有限公司,,,,,,,,,,,,,,2020年9月20日,2021年9月19日
73,教育用地,盐城市,盐都区,东进路小学、初中,盐城市盐都区潘黄街道办事处宝才居委会,,划拨,,,,2020,2020年5月,2020年5月20日,86499,0.75,0.75,0.75,,江苏盐西宝兴教育产业发展有限公司,,,,,,,,,,,,,,2020年9月20日,2022年9月19日
74,采矿用地,盐城市,阜宁县,盐城淇岸环境科技有限公司,阜宁高新技术产业开发区马河村,50,挂牌出让,,517,,2020,2020年5月,2020年5月18日,24150.87,0.601.00,0.6,1,,盐城淇岸环境科技有限公司,,,,,,,,,,,,,,2020年12月28日,2022年12月28日
75,工业用地,盐城市,阜宁县,江苏鑫鹏工业用布有限公司,现代服务业园区新丰居委会,50,挂牌出让,,107,,2020,2020年5月,2020年5月18日,4912.57,1.302.00,1.3,2,,江苏鑫鹏工业用布有限公司,,,,,,,,,,,,,,2020年12月28日,2022年12月28日
76,工业用地,盐城市,阜宁县,盐城恒旺彩印包装有限公司,现代服务业园区新丰居委会,50,挂牌出让,,85,,2020,2020年5月,2020年5月18日,3908.87,1.002.00,1,2,,盐城恒旺彩印包装有限公司,,,,,,,,,,,,,,2020年12月28日,2022年12月28日
77,工业用地,盐城市,阜宁县,阜宁县罗桥阜香园糕点厂,罗桥镇沿街村,50,挂牌出让,,83,,2020,2020年5月,2020年5月18日,3962.15,1.202.00,1.2,2,,阜宁县罗桥阜香园糕点厂,,,,,,,,,,,,,,2020年12月28日,2022年12月28日
78,工业用地,盐城市,阜宁县,盐城程锦服饰有限公司,古河镇古河居委会,50,挂牌出让,,79,,2020,2020年5月,2020年5月18日,3782.7,1.502.00,1.5,2,,盐城程锦服饰有限公司,,,,,,,,,,,,,,2020年12月28日,2022年12月28日
79,工业用地,盐城市,阜宁县,阜宁鹏晔机械制造有限公司,罗桥镇沿街村,50,挂牌出让,,70,,2020,2020年5月,2020年5月18日,3333.34,1.002.00,1,2,,阜宁鹏晔机械制造有限公司,,,,,,,,,,,,,,2020年12月28日,2022年12月28日
