编号,用途,省市,区县,宗地名称,宗地位置,出让年限,交易方式,成交价格(万元),溢价率,成交年份,成交年月,成交时间,出让面积,出让面积,容积率,建筑面积,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
130,工业用地,连云港市,连云区,建筑材料节能环保深加工产业园,板桥横一路东北,30,挂牌,2301,,2019,2019年12月,2019年12月26日,13.6954,136954,1,136954,江苏海通建设工程有限公司,,,,,,,,,,,,,,2020年7月24日,2022年7月23日
131,工业用地,连云港市,海州区,广核浦南光伏升压站,海州区浦南镇新建村小黄墩居民点西,30,挂牌,244,,2019,2019年12月,2019年12月25日,1.0198,10198,1,10198,中广核太阳能连云港有限公司,,,,,,,,,,,,,,2020年1月30日,2022年1月30日
132,工业用地,连云港市,连云区,年产30000吨玻璃纤维缝布、碳纤维布编织物项目,开发区云桥路西、东晋路北侧,30,挂牌,637,,2019,2019年12月,2019年12月25日,3.5388,35388,2,70776,连云港欧耐德新材料有限公司,,,,,,,,,,,,,,2020年7月23日,2022年7月22日
133,工业用地,连云港市,灌云县,连云港龙穆实业有限公司,龙苴镇工业集中区、创业路北侧,50,挂牌,60,,2019,2019年12月,2019年12月24日,0.3922,3922,1.7,6667.4,连云港龙穆实业有限公司,,,,,,,,,,,,,,2020年9月24日,2023年9月23日
140,工业用地,连云港市,灌云县,连云港祥云投资有限公司,县城经济开发区、236省道东侧,50,挂牌,480,,2019,2019年12月,2019年12月23日,2.6667,26667,2,53334,连云港祥云投资有限公司,,,,,,,,,,,,,,2020年9月23日,2023年9月22日
141,工业用地,连云港市,灌云县,灌云图盛实业有限公司,图河镇工业集中区、创业路东侧,50,挂牌,100,,2019,2019年12月,2019年12月23日,0.6542,6542,1.2,7850.4,灌云图盛实业有限公司,,,,,,,,,,,,,,2020年9月23日,2023年9月22日
142,工业用地,连云港市,东海县,新建汽车废弃物无害化收储转运项目,东海县高新区园区路南侧、迎奥路东侧,50,挂牌,1721,,2019,2019年12月,2019年12月20日,6.3751,63751,1,63751,江苏中能楷锐环境服务有限公司,,,,,,,,,,,,,,2020年3月28日,2022年3月27日
144,工业用地,连云港市,赣榆区,锲尚实业（江苏）有限公司,海头镇海脐村,50,挂牌,691,,2019,2019年12月,2019年12月9日,3.009,30090,0.7,21063,锲尚实业（江苏）有限公司,,,,,,,,,,,,,,2020年3月31日,2022年3月31日
145,工业用地,连云港市,赣榆区,连云港昱龙模板有限公司,海头镇海脐村,50,挂牌,796,,2019,2019年12月,2019年12月9日,3.5137,35137,0.7,24595.9,连云港昱龙模板有限公司,,,,,,,,,,,,,,2020年3月31日,2022年3月30日
158,工业用地,连云港市,连云区,高性能结构芯材研发生产基地项目,开发区金桥路西、云池路南,50,挂牌,696,,2019,2019年11月,2019年11月27日,2.9203,29203,2,58406,维赛（江苏）复合材料科技有限公司,,,,,,,,,,,,,,2020年6月25日,2022年6月24日
161,仓储用地,连云港市,连云区,一带一路供应链基地（连云港）项目,开发区佟圩路东侧,50,挂牌,7573,,2019,2019年11月,2019年11月27日,31.9519,319519,1.2,383422.8,连云港亚欧一带一路供应链基地有限公司,,,,,,,,,,,,,,2020年6月25日,2022年6月24日
165,工业用地,连云港市,连云区,LNG压力容器制造项目,开发区242省道南、跃湖路西侧,50,挂牌,5846,,2019,2019年11月,2019年11月26日,24.6641,246641,2,493282,连云港中远海运特种装备制造有限公司,,,,,,,,,,,,,,2020年6月24日,2022年6月23日
205,工业用地,连云港市,东海县,年加工23万吨石英坩埚废料项目,东海县青湖镇工业区经六路东侧、南环路北侧,50,挂牌,342.9,,2019,2019年11月,2019年11月22日,1.5242,15242,1.5,22863,连云港威晟硅材料有限公司,,,,,,,,,,,,,,2019年12月22日,2021年12月22日
231,工业用地,连云港市,东海县,年产15000个停车位智能停车系统项目,东海县振兴路西侧、园区路北侧,50,挂牌,902.98,,2019,2019年11月,2019年11月20日,3.3409,33409,0.8,26727.2,江苏越捷智能停车系统有限公司,,,,,,,,,,,,,,2019年12月28日,2021年12月28日
259,工业用地,连云港市,东海县,年产640万块聚合物锂离子电池项目,东海县麒麟大道南侧、华夏路东侧,50,挂牌,394.6,,2019,2019年11月,2019年11月18日,1.5295,15295,0.8,12236,江苏正崴新能源科技有限公司,,,,,,,,,,,,,,2019年12月28日,2021年12月28日
260,工业用地,连云港市,东海县,水处理高新技术研发及配套设备生产项目,东海县高新区光明路南侧、如意情厂区南侧,50,挂牌,855.5,,2019,2019年11月,2019年11月18日,3.3289,33289,1,33289,东海天湶环保科技有限公司,,,,,,,,,,,,,,2020年3月18日,2022年3月17日
284,仓储用地,连云港市,连云区,LTC2019-16#,徐圩港区海滨大道东，物流大道北,50年，40年,挂牌,12710,,2019,2019年11月,2019年11月12日,24.2082,242082,0.8,193665.6,连云港徐圩港口投资集团有限公司,,,,,,,,,,,,,,2020年10月25日,2022年10月25日
285,工业用地,连云港市,连云区,连云港圣奥化学科技有限公司聚合物添加剂项目（一期）,连云区石化三路西、石化七道北,50,挂牌,16243,,2019,2019年11月,2019年11月12日,75.5452,755452,0.6,453271.2,连云港圣奥化学科技有限公司,,,,,,,,,,,,,,2020年6月12日,2022年6月11日
286,工业用地,连云港市,赣榆区,连云港市韩氏商务会馆有限公司,柘汪镇东林子村,50,挂牌,944,,2019,2019年11月,2019年11月11日,3.9501,39501,0.7,27650.7,连云港市韩氏商务会馆有限公司,,,,,,,,,,,,,,2020年1月31日,2022年1月31日
289,工业用地,连云港市,东海县,经营用房迁建项目,驼峰乡富民路北侧、远东路西侧,50,挂牌,461.54,,2019,2019年11月,2019年11月8日,1.964,19640,0.8,15712,连云港瑞龙气体有限公司,,,,,,,,,,,,,,2020年1月5日,2021年11月5日
290,工业用地,连云港市,东海县,年加工5万吨高档宠物饲料项目,东海县高新区园区路南侧,50,挂牌,719.6,,2019,2019年11月,2019年11月8日,2.665,26650,1,26650,连云港正润生物科技有限公司,,,,,,,,,,,,,,2020年4月29日,2022年4月29日
293,工业用地,连云港市,东海县,台玻东海玻璃有限公司1000td高档玻璃生产线项目（DHG-3）,东海县311国道南侧,50,挂牌,3320,,2019,2019年11月,2019年11月7日,12.251,122510,0.8,98008,台玻东海玻璃有限公司,,,,,,,,,,,,,,2020年2月28日,2022年2月28日
294,工业用地,连云港市,东海县,年产1000万只高压钠灯项目,东海县驼峰乡富民路南侧、金陵路东侧,50,挂牌,146.1,,2019,2019年11月,2019年11月6日,0.6218,6218,0.8,4974.4,连云港沪亚照明电器有限公司,,,,,,,,,,,,,,2020年1月6日,2022年1月6日
