编号,用途,省市,区县,宗地名称,宗地位置,出让年限,交易方式,成交价格(万元),溢价率,成交年份,成交年月,成交时间,出让面积,出让面积,容积率,建筑面积,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
76,公用设施用地,连云港市,海州区,新浦工业园网络机房安置项目,新浦经济开发区道浦路东、珠江路南,,划拨,,,2020,2020年1月,2020年1月15日,0.68198,6819.8,1.5,10229.7,江苏省广电有线信息网络股份有限公司连云港分公司,,,,,,,,,,,,,,2020年6月30日,2020年9月30日
77,教育用地,连云港市,海州区,连云港师专一附小扩建教学楼（校安工程）一期项目,师专一附小北、陇海路南,,划拨,,,2020,2020年1月,2020年1月15日,0.46667,4666.7,1.1,5133.37,连云港师范高等专科学校第一附属小学,,,,,,,,,,,,,,2020年12月31日,2021年9月30日
78,机关团体用地,连云港市,海州区,锦屏便民服务中心项目,锦屏镇纬一路北、官河路西,,划拨,,,2020,2020年1月,2020年1月15日,1.4881,14881,1.2,17857.2,江苏海州发展集团有限公司,,,,,,,,,,,,,,2020年12月31日,2022年10月31日
79,零售商业用地,连云港市,海州区,云台山景区环云台山大道北、渔湾排水河西,云台山景区环云台山大道北、渔湾排水河西,50年，40年，40年,挂牌,4560,,2020,2020年1月,2020年1月15日,5.0598,50598,0.8,40478.4,连云港市文化旅游发展集团有限公司,,,,,,,,,,,,,,2020年11月15日,2022年11月15日
80,城镇村道路用地,连云港市,连云区,保驾山路,连云区宿城街道,,划拨,,,2020,2020年1月,2020年1月15日,1.1433,11433,1,11433,连云区人民政府,,,,,,,,,,,,,,2021年4月15日,2023年4月15日
81,商务金融用地,连云港市,连云区,连云港云洲无人船研发及产业化项目,连云区连岛白沙海事监管基地东,40年，40年，40年，40年，40年，40年,挂牌,12700,,2020,2020年1月,2020年1月14日,6.1247,61247,1,61247,连云港云海置业有限公司,,,,,,,,,,,,,,2020年12月31日,2022年12月30日
82,商务金融用地,连云港市,连云区,江苏天马供应链有限公司,连云新城盐城路东、广州路南,40,挂牌,1750,,2020,2020年1月,2020年1月14日,1.6629,16629,2,33258,江苏天马供应链有限公司,,,,,,,,,,,,,,2020年11月14日,2022年11月13日
83,公路用地,连云港市,连云区,连云区石化三道（石化九路—石化七路）新建工程,连云区石化九路东、石化七路西,,划拨,0,,2020,2020年1月,2020年1月14日,3.4729,34729,1,34729,江苏方洋集团有限公司,,,,,,,,,,,,,,2020年1月16日,2021年1月15日
84,机关团体用地,连云港市,连云区,连云港海洋环境监测站建设业务用房项目,连云区平山北路西、瀚海路北,,划拨,,,2020,2020年1月,2020年1月14日,0.13467,1346.7,1.2,1616.04,国家海洋局连云港海洋环境监测站,,,,,,,,,,,,,,2020年7月1日,2022年6月30日
85,城镇住宅用地,连云港市,灌南县,消防大队东侧地块,消防大队东侧地块,70,挂牌,17865.3,,2020,2020年1月,2020年1月10日,5.9551,59551,2.1,125057.1,灌南县金灌置业有限公司,,,,,,,,,,,,,,2020年7月10日,2023年7月10日
86,城镇住宅用地,连云港市,灌南县,气象局周边地块一,气象局周边地块一,70,挂牌,8505,,2020,2020年1月,2020年1月10日,3.5,35000,2.1,73500,江苏港利房地产开发有限公司,,,,,,,,,,,,,,2020年7月10日,2023年7月10日
87,城镇住宅用地,连云港市,灌南县,气象局周边地块二,气象局周边地块二,70,挂牌,8987.355,,2020,2020年1月,2020年1月10日,3.6985,36985,2.1,77668.5,江苏港利房地产开发有限公司,,,,,,,,,,,,,,2020年7月10日,2023年7月10日
88,城镇住宅用地,连云港市,灌南县,老农业局地块,老农业局地块,70年，40年,挂牌,11170.467,,2020,2020年1月,2020年1月10日,4.5969,45969,2.5,114922.5,灌南中地置业有限公司,,,,,,,,,,,,,,2020年7月10日,2023年7月10日
89,城镇住宅用地,连云港市,灌南县,于营村部周边地块一,于营村部周边地块一,70,挂牌,13664.16,,2020,2020年1月,2020年1月10日,5.0608,50608,2.2,111337.6,灌南县金灌置业有限公司,,,,,,,,,,,,,,2020年7月10日,2023年7月10日
90,城镇住宅用地,连云港市,灌南县,于营村部周边地块二,于营村部周边地块二,70,挂牌,14114.79,,2020,2020年1月,2020年1月10日,5.2277,52277,2.2,115009.4,灌南县金灌置业有限公司,,,,,,,,,,,,,,2020年7月10日,2023年7月10日
91,城镇住宅用地,连云港市,灌南县,农批市场南侧地块,农批市场南侧地块,70,挂牌,11999.925,,2020,2020年1月,2020年1月10日,5.3333,53333,2,106666,灌南县金灌置业有限公司,,,,,,,,,,,,,,2020年7月10日,2023年7月10日
92,城镇住宅用地,连云港市,灌南县,悦府南侧地块二,悦府南侧地块二,70,挂牌,14140.83,,2020,2020年1月,2020年1月10日,4.2851,42851,2.2,94272.2,灌南县金灌置业有限公司,,,,,,,,,,,,,,2020年7月10日,2023年7月10日
93,城镇住宅用地,连云港市,灌南县,悦府南侧地块一,悦府南侧地块一,70,挂牌,16363.71,,2020,2020年1月,2020年1月10日,4.9587,49587,2.2,109091.4,灌南县金灌置业有限公司,,,,,,,,,,,,,,2020年7月10日,2023年7月10日
94,城镇住宅用地,连云港市,灌南县,纱厂周边地块二,纱厂周边地块二,70,挂牌,14862,,2020,2020年1月,2020年1月9日,6.1925,61925,2.3,142427.5,苏州康辉置业有限公司,,,,,,,,,,,,,,2020年7月9日,2023年7月9日
95,城镇住宅用地,连云港市,灌南县,淮河路南侧地块一,淮河路南侧地块一,70,挂牌,9224.496,,2020,2020年1月,2020年1月9日,4.2706,42706,2.3,98223.8,灌南县星晖置业有限公司,,,,,,,,,,,,,,2020年7月9日,2023年7月9日
96,城镇住宅用地,连云港市,灌南县,淮河路南侧地块二,淮河路南侧地块二,70,挂牌,9330.768,,2020,2020年1月,2020年1月9日,4.3198,43198,2.3,99355.4,灌南县星晖置业有限公司,,,,,,,,,,,,,,2020年7月9日,2023年7月9日
