编号,用途,省市,区县,宗地名称,宗地位置,出让年限,交易方式,成交价格(万元),溢价率,成交年份,成交年月,成交时间,出让面积,出让面积,容积率,建筑面积,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
152,公用设施用地,连云港市,灌南县,化工园区集中供热二期项目,堆沟港镇十队村,,划拨,,,2019,2019年11月,2019年11月27日,5.6795,56795,0.7,39756.5,江苏连云港化工产业园区管理委员会,,,,,,,,,,,,,,2020年5月27日,2022年5月27日
153,公用设施用地,连云港市,灌南县,化工园区公用设施维修配套项目,堆沟港镇十队村,,划拨,,,2019,2019年11月,2019年11月27日,1.8805,18805,0.7,13163.5,江苏连云港化工产业园区管理委员会,,,,,,,,,,,,,,2020年5月27日,2022年5月27日
154,公用设施用地,连云港市,连云区,徐圩新区第二水厂及配套管网二期工程项目,石化九路东、陬山路北,,划拨,0,,2019,2019年11月,2019年11月27日,5.0437,50437,0.6,30262.2,江苏方洋水务有限公司,,,,,,,,,,,,,,2019年12月28日,2021年12月27日
155,社会福利用地,连云港市,灌南县,新安镇曹庄村保障房,新安镇曹庄村,,划拨,,,2019,2019年11月,2019年11月27日,1.4845,14845,1.2,17814,灌南县新安镇人民政府,,,,,,,,,,,,,,2020年5月27日,2022年5月27日
156,公用设施用地,连云港市,连云区,徐圩新区220kV炼化输变电工程项目,石化六路东、规划路南,,划拨,0,,2019,2019年11月,2019年11月27日,1.4,14000,1,14000,江苏东港能源投资有限公司,,,,,,,,,,,,,,2019年12月28日,2020年12月27日
157,公用设施用地,连云港市,连云区,徐圩新区220kV深港输变电工程项目,深港河南、石化三路东,,划拨,0,,2019,2019年11月,2019年11月27日,1.8481,18481,1,18481,江苏东港能源投资有限公司,,,,,,,,,,,,,,2019年12月28日,2020年12月27日
159,公用设施用地,连云港市,连云区,连云区达标尾水排海项目,连云区港前大道西、复堆河北,,划拨,0,,2019,2019年11月,2019年11月27日,0.3451,3451,0.5,1725.5,江苏方洋水务有限公司,,,,,,,,,,,,,,2019年12月28日,2022年12月27日
160,体育用地,连云港市,海州区,海州体育馆（二期）项目,海州区秦东门大街南、孔望山路西,,划拨,0,,2019,2019年11月,2019年11月27日,6.63629,66362.9,1,66362.9,江苏海州发展集团有限公司,,,,,,,,,,,,,,2020年12月31日,2022年12月31日
164,公用设施用地,连云港市,赣榆区,新城污水处理厂扩建工程,青口镇里沙村,,划拨,0,,2019,2019年11月,2019年11月26日,4.9714,49714,0.7,34799.8,连云港市创联水务有限责任公司,,,,,,,,,,,,,,2020年3月1日,2022年3月1日
166,公用设施用地,连云港市,赣榆区,青口港口工程,青口镇宋口村,,划拨,0,,2019,2019年11月,2019年11月26日,14.8541,148541,0.6,89124.6,江苏苏海投资发展有限公司,,,,,,,,,,,,,,2020年3月31日,2022年3月31日
171,教育用地,连云港市,东海县,东海县滨河幼儿园,东海县牛山街道民兴路南侧,,划拨,0,,2019,2019年11月,2019年11月25日,1.3087,13087,0.8,10469.6,东海县教育局,,,,,,,,,,,,,,2019年11月28日,2020年11月28日
174,机关团体用地,连云港市,灌南县,新安镇镇北社区综合服务中心,新安镇镇北社区,,划拨,,,2019,2019年11月,2019年11月25日,2.1132,21132,0.7,14792.4,灌南县新安镇人民政府,,,,,,,,,,,,,,2020年5月25日,2022年5月25日
175,机关团体用地,连云港市,灌南县,堆沟港镇五荡综合服务中心,堆沟港镇五荡村,,划拨,,,2019,2019年11月,2019年11月25日,1.0882,10882,0.7,7617.4,灌南县堆沟港镇人民政府,,,,,,,,,,,,,,2020年5月25日,2022年5月25日
200,其他商服用地,连云港市,连云区,连云港养生谷一期,连云区连云新城鹰游山路西、秦皇岛路南,40年，40年，40年，40年,挂牌,8304,,2019,2019年11月,2019年11月22日,6.9186,69186,0.8,55348.8,连云港恒康健康产业有限公司,,,,,,,,,,,,,,2021年4月11日,2024年4月10日
201,教育用地,连云港市,东海县,水库村幼儿园,石湖乡水库村,,划拨,0,,2019,2019年11月,2019年11月22日,0.3351,3351,2,6702,东海县石湖中心小学,,,,,,,,,,,,,,2019年11月25日,2021年11月25日
202,文化设施用地,连云港市,东海县,东海县档案馆,东海县振兴路北侧,,划拨,0,,2019,2019年11月,2019年11月22日,0.7231,7231,1.6,11569.6,连云港市东海县档案馆,,,,,,,,,,,,,,2019年11月25日,2021年11月25日
204,教育用地,连云港市,东海县,实验中学开发区校区,经济开发区曹浦村,,划拨,0,,2019,2019年11月,2019年11月22日,4.815,48150,0.8,38520,江苏东海经济开发区管理委员会,,,,,,,,,,,,,,2019年11月25日,2021年11月25日
206,文化设施用地,连云港市,东海县,东海县科教园区,东海县科教产业园,,划拨,0,,2019,2019年11月,2019年11月22日,12.2016,122016,0.9,109814.4,东海县科教创业园区管理委员会,,,,,,,,,,,,,,2019年11月25日,2021年11月25日
210,社会福利用地,连云港市,东海县,牛山街道张庄保障房,牛山街道车庄北侧,,划拨,0,,2019,2019年11月,2019年11月21日,6.6667,66667,0.5,33333.5,东海县牛山街道办事处,,,,,,,,,,,,,,2019年11月25日,2021年11月25日
211,教育用地,连云港市,东海县,中等专业学校一期,牛山街道花园路西侧,,划拨,0,,2019,2019年11月,2019年11月21日,3.8923,38923,0.9,35030.7,江苏省东海中等专业学校,,,,,,,,,,,,,,2019年11月25日,2021年11月25日
212,社会福利用地,连云港市,东海县,果园保障房,牛山街道徐海路南侧,,划拨,0,,2019,2019年11月,2019年11月21日,2.262,22620,1.5,33930,东海县住房和城乡建设局,,,,,,,,,,,,,,2019年11月25日,2021年11月25日
213,社会福利用地,连云港市,东海县,果园保障房,牛山街道徐海路南侧,,划拨,0,,2019,2019年11月,2019年11月21日,0.7345,7345,2,14690,东海县住房和城乡建设局,,,,,,,,,,,,,,2019年11月25日,2021年11月25日
216,机关团体用地,连云港市,东海县,温泉交警中队,温泉镇尹湾村,,划拨,0,,2019,2019年11月,2019年11月21日,0.663,6630,1.5,9945,东海县温泉镇人民政府,,,,,,,,,,,,,,2019年11月25日,2021年11月25日
217,医疗卫生用地,连云港市,东海县,安峰敬老院,安峰镇驻地,,划拨,0,,2019,2019年11月,2019年11月21日,0.4225,4225,1.5,6337.5,东海县牛山街道办事处,,,,,,,,,,,,,,2019年11月25日,2021年11月25日
219,社会福利用地,连云港市,东海县,房山世代服务中心,房山镇驻地,,划拨,0,,2019,2019年11月,2019年11月21日,0.1667,1667,1.5,2500.5,东海县房山镇人民政府,,,,,,,,,,,,,,2019年11月25日,2021年11月25日
224,机关团体用地,连云港市,东海县,桃林镇行政中心,桃林镇桃源东路北侧,,划拨,0,,2019,2019年11月,2019年11月20日,1.1968,11968,1.5,17952,东海县桃林镇人民政府,,,,,,,,,,,,,,2019年11月25日,2021年11月25日
226,公用设施用地,连云港市,连云区,朝阳工业园基础设施项目,朝阳工业园,,划拨,0,,2019,2019年11月,2019年11月20日,2.6775,26775,2,53550,连云港连云区朝阳街道办事处,,,,,,,,,,,,,,2019年11月20日,2019年11月20日
227,公用设施用地,连云港市,连云区,朝阳工业园基础设施项目,朝阳工业园,,划拨,0,,2019,2019年11月,2019年11月20日,4.4833,44833,2,89666,连云港连云区朝阳街道办事处,,,,,,,,,,,,,,2019年11月20日,2019年11月20日
228,公用设施用地,连云港市,连云区,中云片区基础设施项目,中云片区黄河路南、经十九路西,,划拨,0,,2019,2019年11月,2019年11月20日,3.3168,33168,2,66336,连云港经济技术开发区中云街道办事处,,,,,,,,,,,,,,2019年11月20日,2019年11月20日
230,社会福利用地,连云港市,东海县,牛山街道果园保障房,牛山街道徐海路南侧,,划拨,0,,2019,2019年11月,2019年11月20日,1.2727,12727,3.5,44544.5,东海县住房和城乡建设局,,,,,,,,,,,,,,2019年11月25日,2021年11月25日
247,公用设施用地,连云港市,东海县,平明污水处理厂,平明镇马汪村,,划拨,0,,2019,2019年11月,2019年11月19日,0.9313,9313,1,9313,东海县平明镇人民政府,,,,,,,,,,,,,,2019年11月25日,2021年11月25日
248,公用设施用地,连云港市,东海县,青湖污水处理厂,东海县青湖镇驻地,,划拨,0,,2019,2019年11月,2019年11月19日,0.3898,3898,1.5,5847,东海县青湖镇人民政府,,,,,,,,,,,,,,2019年11月25日,2021年11月25日
249,文化设施用地,连云港市,灌南县,浦二庄村文化广场,田楼镇浦二庄村,,划拨,,,2019,2019年11月,2019年11月19日,0.4285,4285,0.5,2142.5,田楼镇人民政府,,,,,,,,,,,,,,2020年4月19日,2022年4月19日
253,社会福利用地,连云港市,东海县,石梁河敬老院,石梁河镇驻地,,划拨,0,,2019,2019年11月,2019年11月18日,0.7666,7666,0.5,3833,东海县石梁河镇人民政府,,,,,,,,,,,,,,2019年11月25日,2021年11月25日
254,交通服务场站用地,连云港市,灌南县,化工园区危险化学品运输车辆专用停车场项目,堆沟港镇董沟村,,划拨,,,2019,2019年11月,2019年11月18日,6.6391,66391,0.5,33195.5,江苏连云港化工产业园区管理委员会,,,,,,,,,,,,,,2020年2月17日,2022年2月17日
255,社会福利用地,连云港市,东海县,石榴街道讲习保障房,东海县石榴街道讲习村,,划拨,0,,2019,2019年11月,2019年11月18日,4.3871,43871,0.5,21935.5,东海县人民政府石榴街道办事处,,,,,,,,,,,,,,2019年11月25日,2021年11月25日
257,公用设施用地,连云港市,东海县,安峰污水处理厂,安峰镇后放村,,划拨,0,,2019,2019年11月,2019年11月18日,1.5773,15773,1.2,18927.6,东海县安峰镇人民政府,,,,,,,,,,,,,,2019年11月25日,2021年11月25日
272,公用设施用地,连云港市,海州区,圣湖路雨水泵站,海州区圣湖路南、杏坛路西,,划拨,0,,2019,2019年11月,2019年11月14日,0.3225,3225,0.25,806.25,连云港市排水管理中心,,,,,,,,,,,,,,2020年1月14日,2021年1月14日
280,交通服务场站用地,连云港市,灌南县,连淮扬镇铁路灌南县综合客运枢纽项目,李集镇朱圩村,50,协议,13.386,,2019,2019年11月,2019年11月13日,0.069,690,1,690,江苏金路源交通发展集团有限公司,,,,,,,,,,,,,,2020年8月12日,2022年8月12日
281,交通服务场站用地,连云港市,灌南县,连淮扬镇铁路灌南县综合客运枢纽项目,李集镇朱圩村,50,协议,82.2172,,2019,2019年11月,2019年11月13日,0.4238,4238,1,4238,江苏金路源交通发展集团有限公司,,,,,,,,,,,,,,2020年8月20日,2022年8月22日
288,科研用地,连云港市,灌南县,灌南国家气象观测站和气象灾害预警中心迁建项目,新安镇镇西村,,划拨,,,2019,2019年11月,2019年11月8日,0.2695,2695,0.5,1347.5,灌南县气象局,,,,,,,,,,,,,,2020年7月7日,2022年7月6日
291,公用设施用地,连云港市,灌南县,灌南县邮政局小尧支局,百禄镇窑湾村,,划拨,,,2019,2019年11月,2019年11月8日,0.0547,547,1.2,656.4,中国邮政集团公司江苏省灌南县分公司,,,,,,,,,,,,,,2020年5月7日,2022年5月7日
309,交通服务场站用地,连云港市,东海县,出租车服务中心,311国道南侧、山西路西侧,50,挂牌,537,,2019,2019年10月,2019年10月25日,1.9044,19044,1,19044,东海县瑞联公共交通有限公司,,,,,,,,,,,,,,2020年4月16日,2022年4月16日
318,商务金融用地,连云港市,连云区,中国电信连云新城大数据中心项目,连云港市连云新城珠海路北、青岛路西,40,挂牌,2282,,2019,2019年10月,2019年10月18日,3.1689,31689,2,63378,中国电信集团有限公司连云港分公司,,,,,,,,,,,,,,2020年10月15日,2022年10月14日
319,公用设施用地,连云港市,海州区,清风园10号楼工程,清风园南出入口、当路水库东南,,划拨,0,,2019,2019年10月,2019年10月16日,0.15195,1519.5,2,3039,连云港市机关事务管理局,,,,,,,,,,,,,,2019年10月22日,2020年7月30日
320,公用设施用地,连云港市,海州区,连云港高新区南城街道凤凰社区服务中心,南城新大街东侧156号,,划拨,0,,2019,2019年10月,2019年10月16日,0.10876,1087.6,1.2,1305.12,连云港高新技术产业开发区南城街道办事处,,,,,,,,,,,,,,2020年4月23日,2021年1月23日
321,教育用地,连云港市,东海县,新建东海县实验中学城北分校项目,富华路北侧、北辰路南侧,,划拨,0,,2019,2019年10月,2019年10月12日,6.456,64560,2,129120,东海县第一实验中学,,,,,,,,,,,,,,2011年2月28日,2013年2月27日
341,交通服务场站用地,连云港市,连云区,连云港海通公共交通有限公司连云区场站,连云区合作路北、云湖北路东,,划拨,0,,2019,2019年10月,2019年10月10日,1.3167,13167,,0,连云港海通公共交通有限公司,,,,,,,,,,,,,,2019年11月13日,2020年11月12日
342,教育用地,连云港市,海州区,连云港市新海实验中学苍梧校区新建教辅楼项目,连云港市新海实验中学苍梧校区校园内,,划拨,0,,2019,2019年10月,2019年10月9日,0.16602,1660.2,3.5,5810.7,连云港市新海实验中学,,,,,,,,,,,,,,2020年6月30日,2020年12月30日
358,其他商服用地,连云港市,灌云县,连云港筑之金实业投资有限公司,下车镇隆兴路东侧,40,挂牌,2290,,2019,2019年9月,2019年9月29日,2.3215,23215,2,46430,连云港筑之金实业投资有限公司,,,,,,,,,,,,,,2020年6月29日,2023年6月28日
359,商务金融用地,连云港市,东海县,江苏东海星泰建设工程有限公司新建办公楼,东海县石榴街道石泉路北侧,40,挂牌,261,,2019,2019年9月,2019年9月26日,0.1597,1597,2.5,3992.5,江苏东海星泰建设工程有限公司,,,,,,,,,,,,,,2020年3月25日,2022年3月25日
