用途,成交日期,成交价格,受让单位
B1商业用地、F3其他类多功能用地、R2二类居住用地、A334基础教育用地,2018-02-02,465000,隆泰实业（北京）有限公司和中国电建地产集团有限公司联合体
R2二类居住用地,2018-02-02,345000,中国电建地产集团有限公司、山西建设投资集团有限公司、北京金地驰创投资咨询有限公司和隆泰实业（北京）有限公司联合体
R2二类居住用地,2018-02-02,327500,北京中海地产有限公司
F1住宅混合公建用地,2018-01-30,302500,招商局地产（北京）有限公司和北京永世同创信息咨询有限公司联合体
R2二类居住用地,2018-01-30,312500,上海穆捷投资管理有限公司和北京国瑞恒祥置业有限公司联合体
R2二类居住用地,,,
R2二类居住用地,,,
R2二类居住用地、A8社区综合服务用地,2018-01-25,168000,中铁房地产集团北方有限公司
B1商业用地,,,
R2二类居住用地、F1住宅混合公建用地、B4综合性商业金融服务业用地、A33基础教育用地,2018-01-17,545000,北京中海地产有限公司
R2二类居住用地,2018-01-17,336500,北京乐优富拓投资有限公司和北京燕都水郡房地产开发有限公司联合体
R2二类居住用地、F3其他类多功能用地,2018-01-12,328500,北京未来科学城昌泰置业有限公司
R2二类居住用地,2018-01-12,550000,中国葛洲坝集团房地产开发有限公司
B23研发设计用地,2018-01-09,108100,北京京石科园置业发展有限公司
B23研发设计用地,2018-01-09,146800,北京保险产业园投资控股有限责任公司和北京保汇置业发展有限公司联合体
R2二类居住用地,2018-01-04,194250,北京京投置地房地产有限公司
R2二类居住用地,2018-01-04,610000,北京中瑞凯华投资管理有限公司和北京德俊置业有限公司联合体
R2二类居住用地、A33基础教育用地,2018-01-04,167500,中国电建地产集团有限公司
工业用地,2018-01-02,4977.6120,北京佳讯云创科技有限公司
M1一类工业用地,2017-12-25,642.087,北京星汉特种印刷有限公司
R2二类居住用地、A33基础教育用地,2017-12-21,648000,北京北辰地产集团有限公司和北京金隅地产开发集团有限公司联合体
B1商业用地、R2二类居住用地、F1住宅混合公建用地,2017-12-14,380000,北京亚通房地产开发有限责任公司
R2二类居住用地、U12供电用地、U22环卫设施用地、A33基础教育用地,2017-12-14,214000,北京富力城房地产开发有限公司和中交地产股份有限公司联合体
R2二类居住用地,2017-12-14,186000,中铁房地产集团北方有限公司
R2二类居住用地、B1商业用地,2017-12-07,182000,北京金融街京西置业有限公司
R2二类居住用地、S4社会停车场用地、A33基础教育用地,2017-12-07,254000,北京金隅地产开发集团有限公司
B4综合性商业金融服务业用地,2017-11-16,242500,中国电子科技集团公司
A2文化设施用地、R2二类居住用地、F1住宅混合公建用地,2017-11-16,762000,北京紫光科城科技发展有限公司
B4综合性商业金融服务业用地,2017-11-14,211000,天安人寿保险股份有限公司和北京保险产业园投资控股有限责任公司联合体
F3其他类多功能用地、R2二类居住用地、A334基础教育用地,2017-11-14,780000,北京万湖企业管理有限公司、北京盛新置业有限公司和廊坊市卓越锦华房地产开发有限公司联合体
B4综合性商业金融服务业用地,2017-11-14,355000,华夏人寿保险股份有限公司北京分公司
R2二类居住用地,2017-11-03,498000,北京首都开发股份有限公司、北京天恒正同资产管理有限公司、北京盛拓置业有限公司和北京房地置业发展有限公司联合体
R2二类居住用地、F1住宅混合公建用地、F3其他类多功能用地、A334基础教育用地、B4综合性商业金融服务业用地,2017-11-07,860000,杭州胜拓投资有限公司
