编号,用途,省市,区县,宗地名称,宗地位置,出让年限 ,交易方式,起始价（万元）,成交价格（万元）,溢价率,成交年份,成交年月,成交时间,出让面积,出让面积,容积率,建筑面积,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
95,公路用地,徐州市,铜山区,铜山区乡镇公交停靠站项目（二）,铜山街道办事处焦山居委会,,划拨,,,,2018,3,2018/3/14,1.7269,1726.9,1,,徐州市铜山区交通局,,,,,,,,,,,,,,2018/9/16,2020/9/16
96,经济适用住房用地,徐州市,铜山区,铜山区铜山街道旧村搬迁,铜山街道办事处,,划拨,,,,2018,3,2018/3/14,6.4429,6442.9,1,,徐州市铜山区经济适用房发展中心,,,,,,,,,,,,,,2018/9/16,2020/9/16
97,廉租住房用地,徐州市,铜山区,铜山区铜山街道旧村搬迁,铜山街道办事处,,划拨,,,,2018,3,2018/3/14,18.5759,18575.9,1,,徐州市铜山区经济适用房发展中心,,,,,,,,,,,,,,2018/9/16,2020/9/16
98,经济适用住房用地,徐州市,铜山区,铜山区铜山街道旧村搬迁,铜山街道办事处,,划拨,,,,2018,3,2018/3/14,17.1776,17177.6,1,,徐州市铜山区经济适用房发展中心,,,,,,,,,,,,,,2018/9/16,2020/9/16
99,经济适用住房用地,徐州市,铜山区,铜山区铜山街道旧村搬迁,铜山街道办事处,,划拨,,,,2018,3,2018/3/14,9.2853,9285.3,1,,徐州市铜山区经济适用房发展中心,,,,,,,,,,,,,,2018/9/16,2020/9/16
100,经济适用住房用地,徐州市,睢宁县,睢宁县双沟镇人民政府建经济适用房,双沟镇苏杭村,,划拨,,,,2018,3,2018/3/14,2.5713,2571.3,1,,睢宁县双沟镇人民政府,,,,,,,,,,,,,,2018/5/14,2019/5/14
101,,徐州市,睢宁县,睢宁县睢城街道办事处建公租房项目,睢城街道八里社区,,划拨,,,,2018,3,2018/3/14,4.3601,4360.1,2,,睢宁县睢城街道办事处,,,,,,,,,,,,,,2018/5/16,2019/5/16
102,廉租住房用地,徐州市,睢宁县,睢宁县濉河街道办事处建廉租房,联群社区,,划拨,,,,2018,3,2018/3/14,12.9308,12930.8,2,,睢宁县濉河街道办事处,,,,,,,,,,,,,,2018/5/14,2019/5/14
103,廉租住房用地,徐州市,睢宁县,睢宁县睢城街道办事处建廉租房项目,睢城街道八里社区,,划拨,,,,2018,3,2018/3/14,3.6735,3673.5,2,,睢宁县睢城街道办事处,,,,,,,,,,,,,,2018/5/14,2019/5/14
104,廉租住房用地,徐州市,睢宁县,睢宁县睢城街道办事处建廉租房项目,睢城街道双庄社区,,划拨,,,,2018,3,2018/3/14,2.0632,2063.2,2,,睢宁县睢城街道办事处,,,,,,,,,,,,,,2018/5/14,2019/5/14
105,科教用地,徐州市,新沂市,新安小学新建校区项目,黄山路南侧、新东路西侧,,划拨,,,,2018,2,2018/2/12,4.6952,4695.2,0.8,,新沂市沭东新城投资开发有限公司,,,,,,,,,,,,,,2018/6/1,2019/6/1
106,公园与绿地,徐州市,徐州市本级,米山配套绿化带,鼓楼区,,划拨,,,,2018,1,2018/1/1,3.1739,3173.9,,,徐州市园林局,,,,,,,,,,,,,,2019/6/30,2021/6/30
107,机关团体用地,徐州市,铜山区,徐州市铜山区人民法院审判法庭,新区街道办事处驿城村,,划拨,,,,2017,12,2017/12/19,0.8182,818.2,1,,徐州市铜山区人民法院,,,,,,,,,,,,,,2018/12/19,2020/12/19
108,医卫慈善用地,徐州市,铜山区,位河村养老服务中心,棠张镇位河村,,划拨,,,,2017,12,2017/12/8,0.8138,813.8,1,,铜山区民政局,,,,,,,,,,,,,,2018/12/8,2020/12/8
109,科教用地,徐州市,铜山区,滕寨村小学校,新区办事处滕寨村,,划拨,,,,2017,12,2017/12/8,2.0858,2085.8,1,,铜山区教育局,,,,,,,,,,,,,,2018/12/8,2020/12/8
110,医卫慈善用地,徐州市,铜山区,龙亭村养老服务中心,三堡镇龙亭村,,划拨,,,,2017,12,2017/12/8,4.2485,4248.5,1,,铜山区民政局,,,,,,,,,,,,,,2018/12/8,2020/12/8
111,医卫慈善用地,徐州市,铜山区,徐村养老服务中心,三堡镇徐村村,,划拨,,,,2017,12,2017/12/8,1.026,1026,1,,铜山区民政局,,,,,,,,,,,,,,2018/12/8,2020/12/8
112,科教用地,徐州市,铜山区,田河村小学校,棠张镇田河村,,划拨,,,,2017,12,2017/12/8,3.6116,3611.6,1,,铜山区教育局,,,,,,,,,,,,,,2018/12/8,2020/12/8
113,科教用地,徐州市,铜山区,位河村幼儿园,棠张镇位河村,,划拨,,,,2017,12,2017/12/8,1.9718,1971.8,1,,铜山区教育局,,,,,,,,,,,,,,2018/12/8,2020/12/8
114,科教用地,徐州市,铜山区,铜山镇中心中学,铜山镇樵村村,,划拨,,,,2017,12,2017/12/8,11.6668,11666.8,1,,铜山区教育局,,,,,,,,,,,,,,2018/12/8,2020/12/8
115,机关团体用地,徐州市,铜山区,望城村便民服务中心,铜山街道办事处望城村,,划拨,,,,2017,12,2017/12/8,1.5726,1572.6,1,,望城村村委会,,,,,,,,,,,,,,2018/12/8,2020/12/8
116,公共设施用地,徐州市,丰  县,丰县城镇燃气管理项目（丰县济徐能源）,北环路南，沙支河东侧,,划拨,,,,2017,10,2017/10/13,2.43,2430,,,丰县济徐能源有限公司,,,,,,,,,,,,,,2018/4/13,2019/4/12
117,医卫慈善用地,徐州市,沛  县,沛县夕阳红老年护理中心,汉源中学北侧、新人民医院东侧,,划拨,,,,2017,10,2017/10/10,0.3331,333.1,3.5,,沛县民政局,,,,,,,,,,,,,,2017/12/10,2018/12/10
118,机关团体用地,徐州市,邳州市,戴圩派出所  邳州市公安局,戴圩街道红旗路西侧,,划拨,,,,2017,9,2017/9/26,0.29321,293.21,1,,邳州市公安局,,,,,,,,,,,,,,2017/12/16,2019/12/16
119,机关团体用地,徐州市,邳州市,新河派出所业务技术用房  邳州市公安局,新河镇街道西,,划拨,,,,2017,9,2017/9/26,0.389286,389.286,1,,邳州市公安局,,,,,,,,,,,,,,2017/12/16,2019/12/16
120,公共设施用地,徐州市,沛  县,杨屯镇安置（中华汉城）,杨屯镇东姚桥村,,划拨,,,,2017,9,2017/9/26,32.4115,32411.5,,,沛县杨屯镇政府,,,,,,,,,,,,,,2018/9/26,2020/9/26
121,经济适用住房用地,徐州市,沛  县,韩坝小区,汉邦路西侧、萧何路南侧、张良路北侧,,划拨,,,,2017,9,2017/9/26,6.7067,6706.7,1.2,,沛县土地储备中心,,,,,,,,,,,,,,2018/9/26,2020/9/26
122,公路用地,徐州市,沛  县,汽车南站,汤沐路南侧、正阳南路西侧,,划拨,,,,2017,9,2017/9/25,7.4089,7408.9,,,交通运输局,,,,,,,,,,,,,,2018/9/25,2020/9/25
123,经济适用住房用地,徐州市,沛  县,朱寨机电园,朱寨镇,,划拨,,,,2017,9,2017/9/25,13.2091,13209.1,1.2,,朱寨镇政府,,,,,,,,,,,,,,2018/9/25,2020/9/25
124,公共设施用地,徐州市,沛  县,李园安置区,汉源大道西侧、东风路北侧,,划拨,,,,2017,9,2017/9/25,10.2807,10280.7,,,沛县汉兴街道办事处,,,,,,,,,,,,,,2018/9/25,2020/9/25
125,公共设施用地,徐州市,沛  县,大屯永泰电厂安置,大屯街道办事处,,划拨,,,,2017,9,2017/9/25,11.3707,11370.7,,,沛县大屯街道办事处,,,,,,,,,,,,,,2018/9/25,2020/9/25
126,公路用地,徐州市,沛  县,沛县正阳路北延市政工程,南至萧何路、北至天津路,,划拨,,,,2017,9,2017/9/25,22.1203,22120.3,,,沛县住房和城乡建设局,,,,,,,,,,,,,,2017/11/25,2018/11/25
127,公共设施用地,徐州市,铜山区,徐州市皮划艇训练基地,铜山区伊庄镇,,划拨,,,,2017,9,2017/9/20,1.6761,1676.1,0.41,,徐州市体育局,,,,,,,,,,,,,,2018/3/20,2021/3/20
128,公共设施用地,徐州市,沛  县,新城区垃圾中转站,红光路西侧、北孔庄安置小区南侧,,划拨,,,,2017,9,2017/9/19,0.5656,565.6,1.5,,沛县城区环境卫生管理所,,,,,,,,,,,,,,2017/11/19,2018/11/19
129,公共设施用地,徐州市,沛  县,110KV滨城（东关）变电站,沛城镇郭小楼东侧,,划拨,,,,2017,9,2017/9/19,0.5695,569.5,,,国网江苏省电力公司沛县供电公司,,,,,,,,,,,,,,2017/11/19,2019/11/19
130,公共设施用地,徐州市,丰  县,丰县体育公园人防工程,丰县城区体育公园南部地下，人民路北侧，体育巷西,,划拨,,,,2017,9,2017/9/14,0.4358,435.8,,,丰县人民防空办公室,,,,,,,,,,,,,,2018/6/14,2020/6/13
131,公共设施用地,徐州市,沛  县,警务实战技能训练中心,汉邦路西侧、韩信路南侧,,划拨,,,,2017,9,2017/9/4,1.7794,1779.4,1,,沛县公安局,,,,,,,,,,,,,,2017/11/11,2019/11/11
132,公共设施用地,徐州市,新沂市,新沂市城市投资发展有限公司新安西路改造工程,新沂市新安街道新安西路（新华路-江苏路）,,划拨,,0,,2017,8,2017/8/18,7.3053,7305.3,,,新沂市城市投资发展有限公司,,,,,,,,,,,,,,2017/9/30,2018/12/31
133,公共设施用地,徐州市,新沂市,南水北调东线徐州市截污导流工程,新沂市窑湾镇、草桥镇、棋盘镇、新店等镇,,划拨,,0,,2017,8,2017/8/16,66.5709,66570.9,,,南水北调新沂市尾水导流工程建设管理处,,,,,,,,,,,,,,2018/2/16,2020/2/16
134,公共设施用地,徐州市,新沂市,新安街道新南水厂,新沂市新安街道西南社区,,划拨,,0,,2017,8,2017/8/15,0.2946,294.6,1,,新安街道办事处,,,,,,,,,,,,,,2018/1/15,2019/1/15
135,公共设施用地,徐州市,新沂市,新安街道臧圩水厂,新沂市新安街道,,划拨,,0,,2017,8,2017/8/15,0.3385,338.5,1,,新沂市新安街道办事处,,,,,,,,,,,,,,2018/1/15,2019/1/15
136,经济适用住房用地,徐州市,新沂市,新沂市经济适用住房三期（惠丰园项目）,新沂市北沟街道黄沭路东侧、三山路北侧,,划拨,,0,,2017,8,2017/8/15,3.6385,3638.5,1.7,,新沂市经济适用住房发展中心,,,,,,,,,,,,,,2017/10/15,2018/10/15
137,公路用地,徐州市,新沂市,宿新高速互通线-8,新沂市马陵山镇,,划拨,,0,,2017,8,2017/8/14,3.1956,3195.6,,,新沂市马陵山镇人民政府,,,,,,,,,,,,,,2018/2/14,2019/2/14
138,公路用地,徐州市,新沂市,宿新高速互通线-9,新沂市马陵山镇,,划拨,,0,,2017,8,2017/8/14,2.9481,2948.1,,,新沂市马陵山镇人民政府,,,,,,,,,,,,,,2018/2/14,2019/2/14
139,公共设施用地,徐州市,新沂市,草桥镇污水处理厂,新沂市草桥镇,,划拨,,0,,2017,8,2017/8/14,0.5189,518.9,1,,新沂市草桥镇人民政府,,,,,,,,,,,,,,2018/1/14,2019/1/14
140,公共设施用地,徐州市,新沂市,窑湾镇污水处理厂,新沂市窑湾镇,,划拨,,0,,2017,8,2017/8/14,0.4214,421.4,1,,新沂市窑湾镇人民政府,,,,,,,,,,,,,,2018/1/15,2019/1/15
141,公共设施用地,徐州市,新沂市,邵店镇污水处理厂,新沂市邵店镇,,划拨,,0,,2017,8,2017/8/14,0.4557,455.7,1,,新沂市邵店镇人民政府,,,,,,,,,,,,,,2018/1/5,2019/1/5
142,公共设施用地,徐州市,新沂市,新沂市合和农贸市场,新沂市北沟街道,,划拨,,0,,2017,8,2017/8/14,2.0752,2075.2,1,,江苏省锡沂高新技术产业开发区,,,,,,,,,,,,,,2018/1/14,2019/1/14
143,公共设施用地,徐州市,新沂市,新沂市合和农贸市场,新沂市北沟街道,,划拨,,0,,2017,8,2017/8/14,0.0911,91.1,1,,江苏省锡沂高新技术产业开发区,,,,,,,,,,,,,,2018/2/14,2019/2/14
144,公共设施用地,徐州市,新沂市,北沟美鑫农贸市场,新沂市北沟街道,,划拨,,0,,2017,8,2017/8/14,1.1895,1189.5,1,,江苏省锡沂高新技术产业开发区,,,,,,,,,,,,,,2018/3/14,2019/3/14
145,公共设施用地,徐州市,新沂市,新店污水处理厂,新沂市新店镇,,划拨,,0,,2017,8,2017/8/14,0.4046,404.6,1,,新沂市新店镇人民政府,,,,,,,,,,,,,,2017/12/14,2018/12/14
146,公共设施用地,徐州市,新沂市,阿湖镇污水处理厂,新沂市阿湖镇,,划拨,,0,,2017,8,2017/8/14,0.3427,342.7,1,,新沂市阿湖镇人民政府,,,,,,,,,,,,,,2017/12/14,2018/12/14
147,公共设施用地,徐州市,新沂市,高流镇 污水处理厂,新沂市高流镇,,划拨,,0,,2017,8,2017/8/14,0.5963,596.3,1,,新沂市高流镇人民政府,,,,,,,,,,,,,,2017/12/14,2018/12/14
148,公共设施用地,徐州市,新沂市,时集镇污水处理厂,新沂市时集镇,,划拨,,0,,2017,8,2017/8/14,0.4915,491.5,1,,新沂市时集镇人民政府,,,,,,,,,,,,,,2017/12/14,2018/12/14
149,公共设施用地,徐州市,新沂市,马陵山镇污水处理厂,新沂市马陵山镇,,划拨,,0,,2017,8,2017/8/14,0.3175,317.5,1,,新沂市马陵山镇人民政府,,,,,,,,,,,,,,2018/1/14,2019/1/14
150,公路用地,徐州市,新沂市,宿新高速互通线-7,新沂市马陵山镇,,划拨,,,,2017,8,2017/8/14,2.3451,2345.1,,,新沂市马陵山镇人民政府,,,,,,,,,,,,,,2018/2/14,2019/2/14
151,公路用地,徐州市,新沂市,宿新高速互通线-4,新沂市唐店街道,,划拨,,0,,2017,8,2017/8/11,0.0718,71.8,,,新沂市唐店街道办事处,,,,,,,,,,,,,,2018/1/11,2019/1/11
152,公路用地,徐州市,新沂市,宿新高速互通线-3,新沂市唐店街道,,划拨,,0,,2017,8,2017/8/11,2.3967,2396.7,,,新沂市唐店街道办事处,,,,,,,,,,,,,,2018/2/11,2019/2/11
153,公路用地,徐州市,新沂市,宿新高速互通线-6,新沂市唐店街道,,划拨,,0,,2017,8,2017/8/11,5.9611,5961.1,,,新沂市唐店街道办事处,,,,,,,,,,,,,,2018/2/11,2020/2/11
154,公路用地,徐州市,新沂市,宿新高速互通线-5,新沂市唐店街道,,划拨,,0,,2017,8,2017/8/11,5.2823,5282.3,,,新沂市唐店街道办事处,,,,,,,,,,,,,,2018/2/11,2019/2/11
155,公路用地,徐州市,新沂市,宿新高速互通线-2,新沂市唐店街道,,划拨,,0,,2017,8,2017/8/10,1.5485,1548.5,,,新沂市唐店街道办事处,,,,,,,,,,,,,,2017/12/10,2019/12/10
156,公路用地,徐州市,新沂市,宿新高速互通线-1,新沂市唐店街道,,划拨,,0,,2017,8,2017/8/10,3.209,3209,,,新沂市唐店街道办事处,,,,,,,,,,,,,,2017/12/10,2020/12/10
157,公共设施用地,徐州市,新沂市,新沂市城市投资发展有限公司建邺路道路改建工程,新沂市新安街道建邺路（东起公园路-西至臧圩河桥）,,划拨,,0,,2017,8,2017/8/10,4.0438,4043.8,,,新沂市城市投资发展有限公司,,,,,,,,,,,,,,2018/8/10,2020/8/10
158,公共设施用地,徐州市,新沂市,高新区新美亚物流,新沂市北沟街道,,划拨,,0,,2017,8,2017/8/10,7.124,7124,1,,江苏省锡沂高新技术产业开发区,,,,,,,,,,,,,,2017/12/10,2019/12/10
159,工业用地,徐州市,睢宁县,神华（睢宁）新能源有限责任公司建机位用地,睢宁县境内,,划拨,,,,2017,8,2017/8/8,0.7416,741.6,1,,神华（睢宁）新能源责任有限公司,,,,,,,,,,,,,,2017/10/8,2018/10/8
160,公共设施用地,徐州市,新沂市,窑湾镇便民服务中心,新沂市窑湾镇,,划拨,,0,,2017,8,2017/8/8,0.1316,131.6,1.2,,新沂市窑湾镇人民政府,,,,,,,,,,,,,,2017/12/8,2018/12/8
161,港口码头用地,徐州市,新沂市,港头码头作业区,新沂市港头镇古镇大道西侧,,划拨,,0,,2017,8,2017/8/8,9.2918,9291.8,1,,新沂市港头镇人民政府,,,,,,,,,,,,,,2017/12/8,2019/12/8
162,港口码头用地,徐州市,新沂市,新沂市马港作业区,新沂市瓦窑镇,,划拨,,0,,2017,8,2017/8/8,12.8346,12834.6,1,,新沂市瓦窑镇人民政府,,,,,,,,,,,,,,2017/12/8,2019/12/8
163,公共设施用地,徐州市,新沂市,城北华强农业园,新沂市新安街道,,划拨,,0,,2017,8,2017/8/8,0.3998,399.8,1.5,,新沂市新安街办事处,,,,,,,,,,,,,,2017/12/8,2018/12/8
164,公共设施用地,徐州市,新沂市,棋盘镇污水处理厂,新沂市棋盘镇,,划拨,,0,,2017,8,2017/8/7,0.009,9,1,,新沂市棋盘镇人民政府,,,,,,,,,,,,,,2018/1/7,2019/1/7
165,公共设施用地,徐州市,新沂市,棋盘镇污水处理厂,新沂市棋盘镇,,划拨,,0,,2017,8,2017/8/7,0.0195,19.5,1,,新沂市港头镇人民政府,,,,,,,,,,,,,,2018/1/7,2019/1/7
166,公共设施用地,徐州市,新沂市,高流镇便民服务中心,新沂市高流镇,,划拨,,,,2017,8,2017/8/7,0.2,200,1.5,,新沂市高流镇人民政府,,,,,,,,,,,,,,2018/1/7,2019/1/7
167,公共设施用地,徐州市,新沂市,新安街道自来水厂,新沂市新安街道,,划拨,,0,,2017,7,2017/7/31,0.2464,246.4,1.5,,新沂市新安街道,,,,,,,,,,,,,,2018/7/16,2019/7/16
168,经济适用住房用地,徐州市,新沂市,窑湾镇安置小区,新沂市窑湾镇,,划拨,,0,,2017,7,2017/7/31,0.1175,117.5,2.3,,窑湾镇人民政府,,,,,,,,,,,,,,2018/7/16,2019/7/16
169,公共设施用地,徐州市,新沂市,窑湾派出所业务用房,新沂市窑湾镇,,划拨,,0,,2017,7,2017/7/31,0.9936,993.6,1.5,,新沂市窑湾镇,,,,,,,,,,,,,,2018/7/16,2019/7/16
170,公共设施用地,徐州市,新沂市,唐店安全饮用水工程,新沂市唐店街道,,划拨,,0,,2017,7,2017/7/31,0.7835,783.5,1.5,,新沂市唐店人民政府,,,,,,,,,,,,,,2018/7/6,2019/7/6
171,公共设施用地,徐州市,新沂市,205国道改扩建工程配套停车场项目,新沂市高流镇,,划拨,,0,,2017,7,2017/7/31,7.0931,7093.1,,,高流镇人民政府,,,,,,,,,,,,,,2018/7/20,2019/7/20
172,公共设施用地,徐州市,新沂市,开发区自来水厂,新沂市经济技术开发区,,划拨,,0,,2017,7,2017/7/31,0.534,534,,,新沂经济开发区管委会,,,,,,,,,,,,,,2018/7/20,2019/7/20
173,公共设施用地,徐州市,新沂市,开发区便民服务中心,新沂市经济技术开发区,,划拨,,0,,2017,7,2017/7/31,0.6142,614.2,,,新沂经济开发区管委会,,,,,,,,,,,,,,2018/7/20,2019/7/20
174,公共设施用地,徐州市,新沂市,开发区便民服务中心,新沂市经济技术开发区,,划拨,,0,,2017,7,2017/7/31,0.1861,186.1,,,新沂经济开发区管委会,,,,,,,,,,,,,,2018/7/20,2019/7/20
175,文体娱乐用地,徐州市,新沂市,开发区运动中心,新沂市经济技术开发区,,划拨,,0,,2017,7,2017/7/31,4.1658,4165.8,0.8,,新沂经济开发区管委会,,,,,,,,,,,,,,2018/7/20,2019/7/20
176,文体娱乐用地,徐州市,新沂市,开发区运动中心,新沂市经济技术开发区,,划拨,,0,,2017,7,2017/7/31,0.7578,757.8,0.8,,新沂经济开发区管委会,,,,,,,,,,,,,,2018/7/20,2019/7/20
177,文体娱乐用地,徐州市,新沂市,开发区运动中心,新沂市经济技术开发区,,划拨,,0,,2017,7,2017/7/31,0.5575,557.5,0.8,,新沂经济开发区管委会,,,,,,,,,,,,,,2018/7/20,2019/7/20
178,文体娱乐用地,徐州市,新沂市,开发区运动中心,新沂市经济技术开发区,,划拨,,0,,2017,7,2017/7/31,1.8109,1810.9,0.8,,新沂经济开发区管委会,,,,,,,,,,,,,,2018/7/20,2019/7/20
179,文体娱乐用地,徐州市,新沂市,开发区运动中心,新沂市经济技术开发区,,划拨,,0,,2017,7,2017/7/31,0.5107,510.7,0.8,,新沂经济开发区管委会,,,,,,,,,,,,,,2018/7/20,2019/7/20
180,经济适用住房用地,徐州市,新沂市,棋盘镇安置小区,新沂市棋盘镇,,划拨,,0,,2017,7,2017/7/31,0.5049,504.9,2.3,,棋盘镇人民政府,,,,,,,,,,,,,,2018/7/16,2019/7/16
181,经济适用住房用地,徐州市,新沂市,港头镇安置小区,新沂市港头镇,,划拨,,0,,2017,7,2017/7/31,1.4729,1472.9,2.3,,港头镇人民政府,,,,,,,,,,,,,,2018/7/16,2019/7/16
182,经济适用住房用地,徐州市,新沂市,窑湾镇安置小区,新沂市窑湾镇,,划拨,,0,,2017,7,2017/7/31,0.1226,122.6,2.3,,窑湾镇人民政府,,,,,,,,,,,,,,2018/7/16,2019/7/16
183,经济适用住房用地,徐州市,新沂市,新店安置小区,新沂市新店镇,,划拨,,0,,2017,7,2017/7/31,0.3428,342.8,2.3,,新沂市新店镇,,,,,,,,,,,,,,2018/7/16,2019/7/16
184,公共设施用地,徐州市,新沂市,骆马湖搜救中心,新沂市窑湾镇,,划拨,,0,,2017,7,2017/7/31,3.2564,3256.4,1.5,,新沂市窑湾镇,,,,,,,,,,,,,,2018/7/16,2019/7/16
185,经济适用住房用地,徐州市,新沂市,马陵山四季青安置小区,新沂市马陵山镇王庄村,,划拨,,0,,2017,7,2017/7/31,2.1402,2140.2,2.3,,新沂市马陵山镇,,,,,,,,,,,,,,2018/7/16,2019/7/16
186,经济适用住房用地,徐州市,新沂市,马陵山四季青安置小区,新沂市马陵山镇王庄村,,划拨,,0,,2017,7,2017/7/31,0.5978,597.8,2.3,,新沂市马陵山镇人民政府,,,,,,,,,,,,,,2018/7/16,2019/7/16
187,经济适用住房用地,徐州市,新沂市,双塘镇圣泉湖安置小区,新沂市双塘镇高塘村,,划拨,,0,,2017,7,2017/7/31,1.6535,1653.5,2.3,,双塘镇人民政府,,,,,,,,,,,,,,2018/7/16,2019/7/16
188,公共设施用地,徐州市,新沂市,新店便民服务中心,新沂市新店镇五营村,,划拨,,0,,2017,7,2017/7/31,0.0609,60.9,1.5,,新店镇人民政府,,,,,,,,,,,,,,2018/7/16,2019/7/16
189,公共设施用地,徐州市,新沂市,草桥居民安全饮用水工程,新沂市草桥镇,,划拨,,0,,2017,7,2017/7/31,0.0699,69.9,1.5,,新沂市草桥镇人民政府,,,,,,,,,,,,,,2018/7/16,2019/7/16
190,公共设施用地,徐州市,新沂市,新沂市经济开发区污水处理厂提标改造工程,新沂市经济开发区墨河街道倪墩村,,划拨,,0,,2017,7,2017/7/19,2.710326,2710.326,1,,光大水务运营（新沂）有限公司,,,,,,,,,,,,,,2017/9/19,2018/3/19
191,公共设施用地,徐州市,新沂市,新沂市经济开发区污水处理厂,新沂市经济开发区墨河街道倪墩村,,划拨,,0,,2017,7,2017/7/19,6.599991,6599.991,1,,光大水务运营（新沂）有限公司,,,,,,,,,,,,,,2017/9/19,2018/3/19
192,公共设施用地,徐州市,新沂市,新沂市经济开发区污水处理厂工程,新沂市经济开发区墨河街道倪墩村,,划拨,,0,,2017,7,2017/7/18,6.2533,6253.3,1,,光大水务运营（新沂）有限公司,,,,,,,,,,,,,,2017/9/18,2018/3/18
193,公共设施用地,徐州市,铜山区,铜山区大学路过街通道人防工程,铜山区铜山街道办事处，大学路与泉江路交叉口,,划拨,,,,2017,7,2017/7/14,0.777652,777.652,,,徐州市铜山区人民防空办公室,,,,,,,,,,,,,,2018/7/16,2020/7/16
194,科教用地,徐州市,铜山区,徐州市铜山区国有资产经营有限责任公司建设凤凰山小学项目,徐州市高新区华山路西、珠江路南,,划拨,,,,2017,7,2017/7/13,3.8571,3857.1,0.6,,徐州市铜山区国有资产经营有限责任公司,,,,,,,,,,,,,,2018/7/16,2020/7/16
195,科教用地,徐州市,新沂市,新沂市新安中心小学黄墩幼儿园,新沂市新安街道黄墩村,,划拨,,0,,2017,7,2017/7/12,0.8764,876.4,1,,新沂市新安中心小学,,,,,,,,,,,,,,2017/11/12,2019/11/12
196,科教用地,徐州市,新沂市,新沂市新安中心小学嶂苍小学教学楼,新沂市嶂苍村,,划拨,,0,,2017,7,2017/7/12,2.573,2573,1,,新沂市新安中心小学,,,,,,,,,,,,,,2017/11/12,2019/11/12
197,科教用地,徐州市,新沂市,新沂市时集中学教学楼,新沂市时集镇滨河路东侧,,划拨,,0,,2017,7,2017/7/12,2.6952,2695.2,1,,新沂市时集中学,,,,,,,,,,,,,,2017/11/12,2019/11/12
198,科教用地,徐州市,新沂市,新沂市新店中学教学楼,新沂市181县道南侧,,划拨,,0,,2017,7,2017/7/12,4.5588,4558.8,1,,新沂市新店中学,,,,,,,,,,,,,,2017/11/12,2019/11/12
199,科教用地,徐州市,新沂市,新沂市合沟镇中心小学教学楼,新沂市合沟镇青年路北侧,,划拨,,0,,2017,7,2017/7/12,2.2805,2280.5,1,,新沂市合沟镇中心小学,,,,,,,,,,,,,,2017/11/12,2019/11/12
200,科教用地,徐州市,新沂市,新沂市瓦窑中学新建教学楼,新沂市瓦窑镇发展路西侧,,划拨,,0,,2017,7,2017/7/11,7.5764,7576.4,1,,新沂市瓦窑中学,,,,,,,,,,,,,,2017/11/11,2019/11/11
201,科教用地,徐州市,新沂市,新沂市阿湖镇黑埠中心小学教学楼,新沂市阿湖镇323省道北侧,,划拨,,0,,2017,7,2017/7/11,4.1189,4118.9,1,,新沂市阿湖镇黑埠中心小学,,,,,,,,,,,,,,2017/11/11,2019/11/11
202,科教用地,徐州市,新沂市,新沂市港头中学教学楼,新沂市港头镇港头街淮海路北侧,,划拨,,0,,2017,7,2017/7/11,3.3276,3327.6,1,,新沂市港头中学,,,,,,,,,,,,,,2017/11/11,2019/11/11
203,科教用地,徐州市,新沂市,新沂市唐店中心小学新建教学楼,新沂市唐店街道中山路南侧,,划拨,,0,,2017,7,2017/7/11,1.8307,1830.7,1.2,,新沂市唐店中心小学,,,,,,,,,,,,,,2017/11/11,2019/11/11
204,科教用地,徐州市,新沂市,新沂市高级中学教学楼和运动场项目,新沂市马陵山镇陵沭路39号,,划拨,,0,,2017,7,2017/7/11,8.3178,8317.8,1.2,,新沂市高级中学,,,,,,,,,,,,,,2017/11/11,2019/11/11
205,公共设施用地,徐州市,新沂市,徐海路沭河大桥新建工程,新沂市徐海路（西至临沭路，东至河北路）,,划拨,,0,,2017,7,2017/7/7,2.2565,2256.5,,,新沂市城市投资发展有限公司,,,,,,,,,,,,,,2017/12/7,2019/12/7
