编号,用途,省市,区县,宗地名称,宗地位置,出让年限 ,交易方式,起始价（万元）,成交价格（万元）,溢价率,成交年份,成交年月,成交时间,出让面积,出让面积,容积率,建筑面积,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
79,公共设施用地,徐州市,丰  县,欢口镇卞庄村垃圾中转站,欢口镇卞庄村,,划拨,,,,2018,12,2018/12/12,0.019084,19.084,1,,丰县欢口镇人民政府,,,,,,,,,,,,,,2019/2/12,2020/2/11
80,公共设施用地,徐州市,丰  县,首羡镇董庄垃圾中转站,首羡镇董庄村,,划拨,,,,2018,12,2018/12/12,0.038795,38.795,1,,丰县首羡镇人民政府,,,,,,,,,,,,,,2019/2/12,2020/2/11
81,公共设施用地,徐州市,丰  县,凤城街道综合便民服务中心,凤城街道黄堤口村,,划拨,,,,2018,12,2018/12/12,0.247949,247.949,1,,丰县经济开发区投资发展有限责任公司,,,,,,,,,,,,,,2019/2/12,2020/2/11
82,公共设施用地,徐州市,丰  县,赵庄镇赵庙村垃圾中转站,赵庄镇赵庙村,,划拨,,,,2018,12,2018/12/12,0.032399,32.399,1,,丰县赵庄镇人民政府,,,,,,,,,,,,,,2019/2/12,2020/2/11
83,科教用地,徐州市,丰  县,赵庄镇大彭庄小学操场,赵庄镇大彭庄村,,划拨,,,,2018,12,2018/12/12,0.482901,482.901,1,,丰县赵庄镇中心学校,,,,,,,,,,,,,,2019/2/12,2020/2/11
84,经济适用住房用地,徐州市,睢宁县,睢宁县高作镇人民政府建安置房,高作镇高南村,,划拨,,,,2018,12,2018/12/5,4.690255,4690.255,2,,睢宁县高作镇人民政府,,,,,,,,,,,,,,2019/6/5,2021/6/5
85,医卫慈善用地,徐州市,铜山区,徐州市铜山区汉王镇养老服务中心,汉王镇虎腰村,,划拨,,,,2018,12,2018/12/5,1.3311,1331.1,1,,徐州市铜山区汉王镇人民政府,,,,,,,,,,,,,,2019/6/5,2022/6/3
86,科教用地,徐州市,贾汪区,建平中学,大吴街道办事处建平村,,划拨,,,,2018,12,2018/12/4,2.1631,2163.1,0.8,,徐州市贾汪区教育局,,,,,,,,,,,,,,2019/11/1,2021/10/31
87,经济适用住房用地,徐州市,睢宁县,睢宁县古邳镇人民政府建安置房,睢宁县古邳镇,,划拨,,,,2018,11,2018/11/23,0.2913,291.3,2,,睢宁县古邳镇人民政府,,,,,,,,,,,,,,2019/3/23,2021/3/23
88,公共设施用地,徐州市,睢宁县,睢宁县睢城街道办事处建公共管理服务中心项目,睢城镇八里园区,,划拨,,,,2018,11,2018/11/23,0.3813,381.3,1,,睢宁县睢城街道办事处,,,,,,,,,,,,,,2019/1/23,2020/1/23
89,经济适用住房用地,徐州市,睢宁县,睢宁县古邳镇人民政府建安置房,睢宁县古邳镇,,划拨,,,,2018,11,2018/11/23,2.198959,2198.959,2,,睢宁县古邳镇人民政府,,,,,,,,,,,,,,2019/1/23,2021/1/23
90,公共设施用地,徐州市,邳州市,农贸市场   邳州市邢楼镇政府,邢楼镇,,划拨,,,,2018,11,2018/11/21,2.1415,2141.5,1,,邳州市邢楼镇政府,,,,,,,,,,,,,,2019/7/20,2021/7/20
91,机关团体用地,徐州市,丰  县,丰县欢口镇政府专职消防队建设项目,丰县欢口镇欢润路北，丰鱼路西侧,,划拨,,,,2018,10,2018/10/8,0.2601,260.1,0.5,,丰县公安局,,,,,,,,,,,,,,2020/1/8,2021/7/7
92,经济适用住房用地,徐州市,睢宁县,睢宁县金城街道办事处建经济适用房,韩二社区,,划拨,,,,2018,3,2018/3/14,7.1334,7133.4,2,,睢宁县金城街道办事处,,,,,,,,,,,,,,2018/5/14,2019/5/14
93,经济适用住房用地,徐州市,睢宁县,睢宁县金城街道办事处建经济适用房,金城街道韩二社区,,划拨,,,,2018,3,2018/3/14,2.9251,2925.1,2,,睢宁县金城街道办事处,,,,,,,,,,,,,,2018/5/14,2019/5/14
94,公路用地,徐州市,铜山区,铜山区乡镇公交停靠站项目（一）,铜山街道办事处焦山居委会,,划拨,,,,2018,3,2018/3/14,26.0792,26079.2,1,,徐州市铜山区交通局,,,,,,,,,,,,,,2018/9/16,2020/9/16
