编号,用途,省市,区县,宗地名称,宗地位置,出让年限,交易方式,起始价（万元）,成交价(万元),溢价率,成交年份,成交年月,成交时间,出让面积,容积率,建筑面积（平方米）,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
46,教育用地,泰州市,泰州市本级,周山河小学,医药高新区寺巷街道杨庄社区、石桥社区境内,,划拨,,,,2020,2020年4月,2020年4月26日,46012,0.75,34509,泰州市新开城建项目投资管理有限公司,,,,,,,,,,,,,,2020年5月8日,2021年5月30日
47,其他商服用地,泰州市,靖江市,商业（靖江市弯腰沟红色旅游有限公司）,季市镇弯腰沟南侧,40,挂牌出让,,252,,2020,2020年4月,2020年4月24日,4063,0.72,2925.36,靖江市弯腰沟红色旅游有限公司,,,,,,,,,,,,,,2022年4月30日,2024年4月30日
48,工业用地,泰州市,靖江市,靖江特殊钢有限公司96,西来镇五圩村,39.35,协议出让,,2.74,,2020,2020年4月,2020年4月24日,96,1,96,靖江特殊钢有限公司,,,,,,,,,,,,,,2021年4月30日,2021年10月31日
49,工业用地,泰州市,靖江市,靖江特殊钢有限公司7502,西来镇五圩村,39.35,协议出让,,213.81,,2020,2020年4月,2020年4月24日,7502,1,7502,靖江特殊钢有限公司,,,,,,,,,,,,,,2021年4月30日,2021年10月31日
50,工业用地,泰州市,靖江市,靖江特殊钢有限公司1814,西来镇五圩村,39.35,协议出让,,51.7,,2020,2020年4月,2020年4月24日,1814,1,1814,靖江特殊钢有限公司,,,,,,,,,,,,,,2021年4月30日,2021年10月31日
51,工业用地,泰州市,兴化市,五得利集团兴化面粉有限公司,兴化经济开发区红星路东侧、凝心路南侧,50,挂牌出让,,2132.5,,2020,2020年4月,2020年4月23日,76834.6,2,153669.2,五得利集团兴化面粉有限公司,,,,,,,,,,,,,,2021年5月9日,2023年5月9日
52,工业用地,泰州市,兴化市,五得利集团兴化面粉有限公司,兴化经济开发区红星路东侧、凝心路南侧,50,挂牌出让,,790.5,,2020,2020年4月,2020年4月23日,28480.5,2,56961,五得利集团兴化面粉有限公司,,,,,,,,,,,,,,2021年5月9日,2022年5月9日
53,工业用地,泰州市,兴化市,兴化市经济发展有限公司,兴化经济开发区花溪路南侧、南山路东侧,50,挂牌出让,,2835.5,,2020,2020年4月,2020年4月23日,102163.8,2,204327.6,兴化市经济发展有限公司,,,,,,,,,,,,,,2021年5月9日,2023年5月9日
54,工业用地,泰州市,兴化市,兴化市经济发展有限公司,兴化经济开发区花溪路南侧、南山路东侧,50,挂牌出让,,2068.5,,2020,2020年4月,2020年4月23日,74535.2,2,149070.4,兴化市经济发展有限公司,,,,,,,,,,,,,,2021年5月9日,2023年5月9日
55,工业用地,泰州市,兴化市,江苏苏美特机械有限公司,兴化市开发区创汇路南侧、卤汀河西侧,50,挂牌出让,,1079,,2020,2020年4月,2020年4月23日,38881.4,2,77762.8,江苏苏美特机械有限公司,,,,,,,,,,,,,,2021年5月9日,2022年5月9日
56,工业用地,泰州市,兴化市,聚金龙玻璃兴化有限公司,兴化市经济开发区聚金龙一期东北侧、卤汀河路西侧,50,挂牌出让,,1076,,2020,2020年4月,2020年4月23日,38772.4,2,77544.8,聚金龙玻璃兴化有限公司,,,,,,,,,,,,,,2021年5月9日,2022年5月9日
57,工业用地,泰州市,兴化市,江苏凯普特动力机械有限公司,兴化市开发区创汇路北侧、凯普特一期西侧,50,挂牌出让,,87,,2020,2020年4月,2020年4月23日,3118.5,2,6237,江苏凯普特动力机械有限公司,,,,,,,,,,,,,,2021年5月9日,2022年5月9日
58,工业用地,泰州市,兴化市,泰州市建宇机械有限公司,兴化市开发区汤临路东侧、建宇一期南侧,50,挂牌出让,,78.5,,2020,2020年4月,2020年4月23日,2813,2,5626,泰州市建宇机械有限公司,,,,,,,,,,,,,,2021年5月9日,2022年5月9日
59,工业用地,泰州市,兴化市,兴化市康莹食品有限公司,兴化市开发区津烟路南侧、红星路西侧,50,挂牌出让,,897,,2020,2020年4月,2020年4月23日,32318,2,64636,兴化市康莹食品有限公司,,,,,,,,,,,,,,2021年5月9日,2022年5月9日
60,工业用地,泰州市,兴化市,江苏瀛图机械有限公司,兴化市开发区南山路东侧、南新通村公路南侧,50,挂牌出让,,375.5,,2020,2020年4月,2020年4月23日,13518.4,2,27036.8,江苏灜图机械有限公司,,,,,,,,,,,,,,2021年5月9日,2022年5月9日
61,零售商业用地,泰州市,泰兴市,周启林,泰兴市万桥路16号1#16-7,40,协议出让,,26.33,,2020,2020年4月,2020年4月22日,48,4,192,周启林,,,,,,,,,,,,,,2020年10月16日,2020年10月16日
62,零售商业用地,泰州市,泰兴市,刘速,泰兴镇兴燕路,40,协议出让,,36.4,,2020,2020年4月,2020年4月22日,112.76,4,451.04,刘速,,,,,,,,,,,,,,2020年10月16日,2020年10月16日
63,城镇住宅用地,泰州市,泰兴市,谢宗锦,泰兴市良种场,70,协议出让,,27.55,,2020,2020年4月,2020年4月22日,103.2,2.5,258,谢宗锦,,,,,,,,,,,,,,2020年10月16日,2020年10月16日
64,交通服务场站用地,泰州市,兴化市,兴化市交通产业投资有限公司,齿轮厂小区西侧、英武路东侧,50,挂牌出让,,450,,2020,2020年4月,2020年4月17日,2021.5,0.2,404.3,兴化市交通产业投资有限公司,,,,,,,,,,,,,,2020年11月3日,2021年5月3日
65,城镇村道路用地,泰州市,兴化市,南亭路东延工程,兴化市垛田街道张庄村,,划拨,,,,2020,2020年4月,2020年4月17日,29815,,0,兴化市城市建设投资有限公司,,,,,,,,,,,,,,2020年9月30日,2021年9月30日
66,公用设施用地,泰州市,泰兴市,中国石油天然气股份有限公司西气东输管道分公司,河失镇羊碾村南洋三组,,划拨,,,,2020,2020年4月,2020年4月17日,1462,2,2924,中国石油天然气股份有限公司西气东输管道分公司,,,,,,,,,,,,,,2021年4月14日,2023年4月14日
67,交通服务场站用地,泰州市,兴化市,大营镇卫生院停车场扩建项目,兴化市大营镇大营村,,划拨,,,,2020,2020年4月,2020年4月17日,1256.8,,0,兴化市大营镇卫生院,,,,,,,,,,,,,,2020年11月7日,2021年11月7日
68,公用设施用地,泰州市,泰兴市,中国石油天然气股份有限公司西气东输管道分公司（黄桥）,泰兴市黄桥镇唐港村,,划拨,,,,2020,2020年4月,2020年4月17日,28558,2,57116,中国石油天然气股份有限公司西气东输管道分公司,,,,,,,,,,,,,,2021年4月14日,2023年4月14日
69,公用设施用地,泰州市,泰兴市,中国石油天然气股份有限公司西气东输管道分公司（珊瑚）,泰兴市珊瑚镇前新村,,划拨,,,,2020,2020年4月,2020年4月17日,1700,2,3400,中国石油天然气股份有限公司西气东输管道分公司,,,,,,,,,,,,,,2021年4月14日,2023年4月14日
