编号,用途,省市,区县,宗地名称,宗地位置,出让年限,交易方式,起始价（万元）,成交价(万元),溢价率,成交年份,成交年月,成交时间,出让面积,容积率,建筑面积（平方米）,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
91,工业用地,泰州市,泰兴市,江苏海博环保科技有限公司,珊瑚镇八户村24组,50,挂牌出让,,311.9805,,2020,######,######,5333,2,10666,江苏海博环保科技有限公司,,,,,,,,,,,,,,######,######
110,工业用地,泰州市,兴化市,江苏众拓新材料科技有限公司,兴化市戴南镇中再生大道西侧,50,挂牌出让,,353.5,,2020,######,######,12725.8,2,25451.6,江苏众拓新材料科技有限公司,,,,,,,,,,,,,,######,######
111,工业用地,泰州市,兴化市,兴化市奕轩金属制品有限公司,兴化市大垛镇保宽村,50,挂牌出让,,29.5,,2020,######,######,1057.5,2,2115,兴化市奕轩金属制品有限公司,,,,,,,,,,,,,,######,######
112,工业用地,泰州市,兴化市,兴化市荣娟金属制品有限公司,兴化市大垛镇丁家村,50,挂牌出让,,81.5,,2020,######,######,2922.1,2,5844.2,兴化市荣娟金属制品有限公司,,,,,,,,,,,,,,######,######
113,工业用地,泰州市,兴化市,兴化市蒙可金属制品有限公司,兴化市大垛镇世联村,50,挂牌出让,,67,,2020,######,######,2409.5,2,4819,兴化市蒙可金属制品有限公司,,,,,,,,,,,,,,######,######
114,工业用地,泰州市,兴化市,兴化市舒富乐金属制品有限公司,兴化市大垛镇大陶村,50,挂牌出让,,27.5,,2020,######,######,979,2,1958,兴化市舒富乐金属制品有限公司,,,,,,,,,,,,,,######,######
115,工业用地,泰州市,兴化市,兴化市天赐木船厂,兴化市竹泓镇北张村兴泓路西侧,50,挂牌出让,,31,,2020,######,######,1099.5,2,2199,兴化市天赐木船厂,,,,,,,,,,,,,,######,######
116,工业用地,泰州市,兴化市,兴化市万祥木船厂,兴化市竹泓镇北张村兴泓路西侧,50,挂牌出让,,37.5,,2020,######,######,1340.2,2,2680.4,兴化市万祥木船厂,,,,,,,,,,,,,,######,######
117,工业用地,泰州市,兴化市,兴化市艾露莎木业有限公司,兴化市竹泓镇竹二村文化路北侧,50,挂牌出让,,56,,2020,######,######,2006.7,2,4013.4,兴化市艾露莎木业有限公司,,,,,,,,,,,,,,######,######
118,工业用地,泰州市,兴化市,兴化市兴扬船业有限公司,兴化市竹泓镇竹二村文化路北侧,50,挂牌出让,,50.5,,2020,######,######,1811.4,2,3622.8,兴化市兴扬船业有限公司,,,,,,,,,,,,,,######,######
