行政区,项目名称,项目位置,面积(公顷),土地用途,供地方式,土地使用年限,行业分类,成交价格(万元),土地使用权人,约定容积率,合同签订日期,约定开工时间,约定竣工时间
贵池区,茅坦水厂改扩建项目,墩上街道茅坦村,0.4333,公共设施用地,划拨,,中国共产党机关,,池州市贵池区墩上街道办事处茅坦村村民委员会,,2018年10月10日,,
青阳县,青阳县五九公路代征地项目（茶溪小镇入口段）,庙前镇高源村,1.3508,交通运输用地,划拨,,国家机构,,青阳县交通运输局,,2018年10月10日,,
东至县,东至县城乡环卫一体化项目,尧渡镇建东村,1.26382,公共设施用地,划拨,,卫生,0,东至县城市管理行政执法局,,2018年10月10日,2019年10月10日,2020年10月10日
贵池区,公路用地,江南集中区,11.2374,公路用地,划拨,,房地产业,,安徽省江南产业集中区建设投资发展（集团）有限公司,,2018年10月10日,,
青阳县,蓉城镇滨湖西路,蓉城镇南部新城滨湖西路,10.5506,街巷用地,划拨,,国家机构,,青阳县住房和城乡建设委员会,,2018年10月10日,,
青阳县,蓉城镇莲花路,蓉城镇南部新城莲花路,2.4685,街巷用地,划拨,,国家机构,,青阳县住房和城乡建设委员会,,2018年10月10日,,
青阳县,木镇河北园区河北西路项目,木镇河北工业园区河北西路,0.6781,交通运输用地,划拨,,公共设施管理业,,青阳县木镇城市经营发展有限公司,,2018年10月10日,,
青阳县,蓉城镇长龙山路,蓉城镇长龙山路,1.3735,街巷用地,划拨,,国家机构,,青阳县住房和城乡建设委员会,,2018年10月10日,,
青阳县,木镇工业园区木瓜山路项目,木镇工业园区木瓜山路,2.1931,交通运输用地,划拨,,公共设施管理业,,青阳县木镇城市经营发展有限公司,,2018年10月10日,,
青阳县,青阳县蓉城镇青山东路（碧桃路至东河路段）道排工程,蓉城镇青山东路（碧桃路至东河路段）,2.1194,街巷用地,划拨,,国家机构,,青阳县住房和城乡建设委员会,,2018年10月10日,,
青阳县,蓉城镇望华路,蓉城镇南部新城望华路,1.1164,交通运输用地,划拨,,国家机构,,青阳县住房和城乡建设委员会,,2018年10月10日,,
青阳县,蓉城镇富阳路,蓉城镇南部新城富阳路,1.4403,交通运输用地,划拨,,国家机构,,青阳县住房和城乡建设委员会,,2018年10月10日,,
青阳县,木镇河北园区河北东路项目,木镇河北工业园区河北东路,0.9822,交通运输用地,划拨,,公共设施管理业,,青阳县木镇城市经营发展有限公司,,2018年10月10日,,
池州市本级,翠峰路与凤凰大道交叉口东南侧地块,开发区凤凰大道,8.6493,其他普通商品住房用地,挂牌出让,70,房地产业,7495,绿地集团池州置业有限公司,1.001.50,2018年10月10日,2019年8月1日,2021年7月31日
贵池区,公路用地,池州市贵池区梅龙街道,0.1758,公路用地,划拨,,公共管理和社会组织,,池州市贵池区人民政府梅龙街道办事处,,2018年10月9日,,
池州市本级,凤鸣大道边角地,江南产业集中区,9.8123,街巷用地,划拨,,其他服务业,,安徽省江南产业集中区建设投资发展（集团）有限公司,,2018年10月9日,,
