行政区,项目名称,项目位置,面积(公顷),土地用途,供地方式,土地使用年限,行业分类,成交价格(万元),土地使用权人,约定容积率,合同签订日期,约定开工时间,约定竣工时间,,
萧县,萧县建设投资有限责任公司,龙城镇毛郢孜村，S301南侧,5.1378,城镇住宅用地,拍卖出让,70,房地产业,6088.293,萧县建设投资有限责任公司,1.001.63,2020年4月28日,2021年6月27日,2023年6月27日,,
萧县,萧县建设投资有限责任公司,龙城镇毛郢孜村，永马路西侧，S301南侧,0.1816,城镇住宅用地,拍卖出让,70,房地产业,201.576,萧县建设投资有限责任公司,1.001.36,2020年4月28日,2021年6月27日,2023年6月27日,,
泗县,泗南110千伏输变电站,泗县蟠龙山路与唐河路交叉口东南角,0.4601,公用设施用地,划拨,,公共设施管理业,138.04,国网安徽省电力有限公司宿州供电公司,0.600.60,2020年4月28日,2020年6月30日,2021年6月30日,,
灵璧县,辉大不锈钢,下楼镇杨山村灵房路西侧,0.3433,工业用地,挂牌出让,50,金属制品业,28.84,灵璧县辉大不锈钢制品有限公司,1.001.00,2020年4月27日,2021年4月27日,2022年4月26日,,
灵璧县,恒赫饲料,下楼镇杨山村灵房路西侧,0.5621,工业用地,挂牌出让,50,农、林、牧、渔服务业,47.22,灵璧县恒赫饲料有限公司,1.001.00,2020年4月27日,2021年4月27日,2022年4月26日,,
灵璧县,攀望科技,北部开发区长江路以南、红石山路以东,2.114,工业用地,挂牌出让,50,医药制造业,177.58,安徽攀望科技有限公司,1.001.00,2020年4月27日,2021年4月27日,2022年4月26日,,
砀山县,砀山县镇（园区）建成区污水治理项目（曹庄镇污水处理厂）,曹庄镇曹庄社区,0.3269,公用设施用地,划拨,,公共设施管理业,,砀山县住房和城乡建设局,0.17,2020年4月23日,2020年8月17日,2021年8月17日,,
砀山县,砀山县镇（园区）建成区污水治理项目（关帝庙镇污水处理厂）,关帝庙镇黄屯村与熙可社区交界区域,1.227,公用设施用地,划拨,,公共设施管理业,,砀山县住房和城乡建设局,0.16,2020年4月23日,2020年8月17日,2021年8月17日,,
砀山县,砀山县镇（园区）建成区污水治理项目（朱楼镇污水处理厂）,朱楼镇朱楼村,0.2507,公用设施用地,划拨,,公共设施管理业,,砀山县住房和城乡建设局,0.21,2020年4月23日,2020年8月17日,2021年8月17日,,
砀山县,砀山县镇（园区）建成区污水治理项目（程庄镇污水处理厂）,程庄镇程庄村,0.3786,公用设施用地,划拨,,公共设施管理业,,砀山县住房和城乡建设局,0.14,2020年4月23日,2020年8月17日,2021年8月17日,,
砀山县,砀山县镇（园区）建成区污水治理项目（李庄镇污水处理厂）,李庄镇汪阁村与镇东村交界区域,0.843,公用设施用地,划拨,,公共设施管理业,,砀山县住房和城乡建设局,0.25,2020年4月23日,2020年8月17日,2021年8月17日,,
灵璧县,灵璧县妇幼保健院搬迁项目,灵璧北部开发区嫩江路南侧、金山路东侧,2.1756,医疗卫生用地,划拨,,卫生,0,灵璧县妇幼保健计划生育服务中心,1,2020年4月22日,2020年9月30日,2021年9月30日,,
萧县,城南居民服务中心（公益性菜篮子工程）项目,萧县小康路北、丰收路东（原啤酒城）,0.958,公共设施用地,划拨,,国家机构,0,萧县房屋征收管理服务中心,0.002.00,2020年4月22日,2019年11月28日,2020年10月28日,,
泗县,山头骆场加油站,山头镇骆场村,0.344,零售商业用地,挂牌出让,40,燃气生产和供应业,620,泗县鼎盛交通文化旅游投资有限公司,0.000.60,2020年4月21日,2020年8月1日,2021年8月1日,,
泗县,黄圩镇红星村加油站,黄圩镇红星村,0.0499,零售商业用地,挂牌出让,40,燃气生产和供应业,90,泗县鼎盛交通文化旅游投资有限公司,0.000.60,2020年4月21日,2020年8月1日,2021年8月1日,,
泗县,大杨乡马宅加油站,大杨乡马宅村,0.13687,零售商业用地,挂牌出让,40,燃气生产和供应业,252,泗县鼎盛交通文化旅游投资有限公司,0.000.60,2020年4月21日,2020年8月1日,2021年8月1日,,
泗县,山头找沟加油站,山头镇找沟村,0.166,零售商业用地,挂牌出让,40,燃气生产和供应业,299,泗县鼎盛交通文化旅游投资有限公司,0.6,2020年4月21日,2020年8月1日,2021年8月1日,,
泗县,屏山镇白庙村彩虹大道与G104交口东侧加油站,屏山镇白庙村,0.679,零售商业用地,挂牌出让,40,燃气生产和供应业,1529,泗县鼎盛交通文化旅游投资有限公司,0.000.60,2020年4月21日,2020年8月1日,2021年8月1日,,
