行政区,项目名称,项目位置,面积(公顷),土地用途,供地方式,土地使用年限,行业分类,成交价格(万元),土地使用权人,约定容积率,合同签订日期,约定开工时间,约定竣工时间,,,,
宁波市本级,东部新城核心区A3-7#8#地块,东部新城核心区，宁东路以南，嘉会街以北，昌乐路以东，承源路以西。,1.2735,商务金融用地,拍卖出让,40,其他金融服务,22055.7465,宁波得力文具有限公司,1.506.90,2020年6月23日,2021年7月3日,2025年7月3日,,,,
宁海县,宁海县正学公园,正学东路南、平安里西,4.4077,公园与绿地,划拨,,国家机构,0,宁海县住房和城乡建设局,,2020年6月23日,2020年12月23日,2022年6月23日,,,,
镇海区,镇海新城西大河南路（永乐路-永和路段）,永乐路南侧、永和路北侧,1.2921,城镇村道路用地,划拨,,国家机构,521.8986,宁波市镇海新城开发建设投资有限公司,0,2020年6月22日,2021年7月10日,2023年7月10日,,,,
余姚市,黄家埠镇高桥村329国道南侧、复线西侧地块,黄家埠镇高桥村,0.1337,工业用地,协议出让,50,塑料制品业,57.6247,余姚市云胜包装喷涂厂,1.201.50,2020年6月22日,2021年6月29日,2023年6月29日,,,,
余姚市,高夹线云楼段应急抢险道路建设工程地块,马渚镇云楼村、乐安湖村,2.113,城镇村道路用地,划拨,,城市公共交通业,772.8375,余姚市马渚镇人民政府,,2020年6月22日,2021年6月29日,2023年6月29日,,,,
余姚市,肖朗公路（四明西路口）至过五线公路一期建设工程地块（K0+000~K2+800段）,马渚镇乐安湖村、瑶街弄村、斗门村,3.511,城镇村道路用地,划拨,,城市公共交通业,1025.2524,余姚市马渚镇人民政府,,2020年6月22日,2021年6月29日,2023年6月29日,,,,
余姚市,余姚市威麦斯南侧地块（余姚市河姆渡金鑫五金厂）,河姆渡镇小泾浦村,0.0912,工业用地,协议出让,50,金属制品业,34.5648,余姚市河姆渡金鑫五金厂,1.001.80,2020年6月22日,2021年6月29日,2023年6月29日,,,,
鄞州区,邱隘镇后殷新村建设项目,邱隘镇后殷村,1.7903,城镇住宅用地,划拨,,其他服务业,,宁波市鄞州区邱隘镇新村建设办公室,1,2020年6月19日,2021年12月17日,2023年12月16日,,,,
奉化市,尚田街道城镇低效用地再开发一百八十八号地块,该地块位于尚田街道尚一村，甬临线西面，地块北至现状道路，东、西、南至用地范围线。,0.1149,工业用地,挂牌出让,50,通用设备制造业,46,宁波市奉化区祥和轴业有限公司,1.001.05,2020年6月19日,2021年6月29日,2023年6月29日,,,,
余姚市,黄家埠镇回龙村中河路北侧地块,黄家埠镇回龙村,0.8072,工业用地,协议出让,50,其它,305.9288,余姚市阳明精工铸件厂,1.001.50,2020年6月19日,2021年6月26日,2023年6月26日,,,,
余姚市,三七市镇姚东村61省道北侧地块（宁波华磁投资发展有限公司）,三七市镇姚东村,0.3902,工业用地,协议出让,50,通讯设备、计算机及其他电子设备制造业,147.8858,宁波华磁投资发展有限公司,1.101.50,2020年6月19日,2021年6月26日,2023年6月26日,,,,
宁波市本级,BOBO城区块九年一贯制学校项目,福明街道桑家村,4.3672,教育用地,划拨,,国家机构,,宁波市鄞州区教育局,0.501.00,2020年6月19日,2021年6月17日,2024年6月16日,,,,
鄞州区,邱隘镇渔金新村建设项目,邱隘镇渔金村,3.6102,城镇住宅用地,划拨,,其他服务业,,宁波市鄞州区邱隘镇新村建设办公室,1,2020年6月19日,2021年12月17日,2023年12月16日,,,,
奉化市,尚田街道城镇低效用地再开发九十一号地块,该地块位于尚田街道印家坑村，地块南至现状道路，东、西、北至用地范围线。,0.6776,工业用地,挂牌出让,50,文教体育用品制造业,264,宁波奉化开天五金工具有限公司,1.201.25,2020年6月19日,2021年6月29日,2023年6月29日,,,,
奉化市,尚田街道城镇低效用地再开发一百零一号地块,该地块位于尚田街道杜家村，甬临线西面，地块北至现状道路，东、西、南至用地范围线。,0.6081,工业用地,挂牌出让,50,通用设备制造业,241,宁波奉化厚方精密机械制造有限公司,0.801.10,2020年6月19日,2021年6月29日,2023年6月29日,,,,
